Wall time,Step,Value
1687638431.242841,410,-149.27699279785156
1687638431.840593,733,-165.41600036621094
1687638432.6060524,1102,-153.3351287841797
1687638433.4248548,1537,-167.18417358398438
1687638434.0445056,1882,-151.01744079589844
1687638434.6665943,2203,-146.0386505126953
1687638435.336027,2568,-139.4185333251953
1687638436.095011,2956,-131.13157653808594
1687638437.0256586,3394,-129.0074920654297
1687638437.813335,3822,-120.12814331054688
1687638438.56959,4241,-124.10395812988281
1687638439.3518357,4677,-127.36283111572266
1687638440.4129453,5164,-127.69425964355469
1687638441.2813094,5631,-125.38050079345703
1687638441.9620168,6009,-122.99928283691406
1687638442.5329835,6329,-121.35215759277344
1687638443.2913096,6746,-120.54615020751953
1687638444.169446,7184,-119.46829986572266
1687638445.179432,7607,-116.3378677368164
1687638446.086453,7997,-114.70458221435547
1687638447.0171318,8392,-112.08948516845703
1687638448.2442186,8893,-110.44139099121094
1687638449.1154675,9267,-109.01557159423828
1687638450.7022579,9865,-110.0792007446289
1687638451.7963688,10281,-109.48863220214844
1687638453.037162,10706,-106.54440307617188
1687638454.0323386,11066,-102.8003158569336
1687638455.3179007,11522,-100.76007080078125
1687638456.2401085,11897,-95.18473815917969
1687638457.337246,12272,-94.71180725097656
1687638458.226312,12637,-91.45967102050781
1687638459.7072353,13109,-89.30651092529297
1687638461.014169,13599,-88.88086700439453
1687638462.3079305,14037,-85.85737609863281
1687638463.9417107,14629,-88.5770492553711
1687638464.9951086,15014,-83.71401977539062
1687638466.0725734,15439,-79.80427551269531
1687638467.0415204,15841,-77.77323913574219
1687638468.0306845,16231,-75.8099594116211
1687638469.3462584,16770,-73.46996307373047
1687638470.3610454,17189,-71.51211547851562
1687638472.1974607,17856,-69.06302642822266
1687638473.0641873,18210,-67.7821273803711
1687638474.6071963,18824,-67.38121032714844
1687638475.9483433,19358,-65.61632537841797
1687638480.928129,20580,-65.7225112915039
1687638482.8187873,21213,-66.49805450439453
1687638484.850038,21763,-64.19873809814453
1687638486.5625138,22340,-60.87006759643555
1687638493.3423572,24058,-57.79142761230469
1687638499.9199655,25959,-58.87095642089844
1687638511.4843135,29050,-56.720367431640625
1687638524.2813563,32455,-55.67442321777344
1687638536.5740042,35582,-54.75168228149414
1687638553.378626,39582,-53.815303802490234
1687638566.0370638,42747,-52.783138275146484
1687638578.9712095,45847,-51.23967742919922
1687638589.8184805,48955,-48.46657943725586
1687638600.8625271,52126,-51.37435531616211
1687638609.9362712,54573,-48.89924240112305
1687638621.448134,57674,-47.28744125366211
1687638629.8818133,59919,-44.2297248840332
1687638643.9424138,63919,-41.84945297241211
1687638655.035395,67064,-37.785850524902344
1687638668.9439683,71064,-33.12448501586914
1687638680.6800423,74193,-29.138803482055664
1687638694.5365787,78161,-26.131078720092773
1687638705.1645424,81231,-22.667560577392578
1687638713.7344368,83830,-15.797128677368164
1687638721.3378003,86171,-12.308455467224121
1687638730.4613976,88837,-5.7322258949279785
1687638738.4433167,91344,2.059652805328369
1687638747.3619912,93875,3.430910348892212
1687638761.8478508,97875,8.546493530273438
1687638772.2782211,100975,13.925877571105957
1687638782.1754339,103989,21.642892837524414
1687638787.7480853,105704,28.32782554626465
1687638794.8983042,107930,39.01762390136719
1687638805.3791375,111083,44.82990646362305
1687638809.300064,112036,50.345638275146484
1687638817.3645093,114315,57.67866134643555
1687638824.4912705,116523,59.08539962768555
1687638831.2374513,118469,63.037837982177734
1687638841.9665847,120838,69.41061401367188
1687638856.6485643,124564,76.56297302246094
1687638864.2166107,126744,79.54156494140625
1687638871.776425,128974,81.93031311035156
1687638885.6138842,132241,86.38928985595703
1687638892.733955,134093,82.14813232421875
1687638902.7514048,136693,82.62467193603516
1687638914.9381733,140378,86.41439056396484
1687638922.0443583,142620,87.98501586914062
1687638933.901444,145750,91.61930084228516
1687638950.2694452,148886,91.96794891357422
1687638964.276827,152101,94.28109741210938
1687638979.2620573,155681,95.0153579711914
1687638992.0152204,158835,94.45369720458984
1687639003.4756057,162053,97.78298950195312
1687639013.1693017,164439,97.38895416259766
1687639026.343297,167720,95.2911376953125
1687639031.2339964,169099,94.20843505859375
1687639045.8604083,173099,92.21839141845703
1687639057.2806613,175879,84.22161865234375
1687639066.5302908,178108,83.45002746582031
1687639078.6580477,181242,83.20509338378906
1687639091.711573,184749,82.2052001953125
1687639101.0079598,187221,86.57474517822266
1687639115.906452,190392,86.31062316894531
1687639163.0417228,193498,87.48150634765625
1687639180.48214,196850,87.29276275634766
1687639193.733788,199843,90.69727325439453
1687639206.8525286,203043,91.44309997558594
1687639220.322951,206295,89.85047149658203
1687639221.7712948,206791,91.85853576660156
1687639226.5756094,208151,87.26806640625
1687639239.8618917,211288,85.29539489746094
1687639251.622494,214417,87.39079284667969
1687639261.4298675,217154,88.78138732910156
1687639269.2956142,219711,86.47645568847656
1687639278.6622307,222568,87.21292114257812
1687639289.5180526,225698,85.30884552001953
1687639297.866998,227949,81.86491394042969
1687639305.4628196,230215,79.26910400390625
1687639313.3571808,232661,78.40251922607422
1687639326.1090095,236661,81.23748779296875
1687639327.5654044,237227,79.77643585205078
1687639337.9259963,240367,80.5747299194336
1687639345.1314197,242647,82.14905548095703
1687639349.7531354,243999,79.91001892089844
1687639361.7572317,247697,82.65929412841797
