Wall time,Step,Value
1687635189.3376477,322,-134.6323699951172
1687635190.141807,706,-119.93318176269531
1687635190.8417335,1038,-140.97573852539062
1687635191.5935097,1445,-140.41195678710938
1687635192.3790874,1816,-145.76663208007812
1687635193.2272909,2223,-149.97552490234375
1687635193.9711685,2579,-148.08880615234375
1687635194.7450824,2909,-149.29214477539062
1687635195.4945579,3288,-141.3050537109375
1687635196.3260229,3680,-139.13909912109375
1687635197.143114,4081,-136.95323181152344
1687635198.0685637,4493,-136.53509521484375
1687635198.8773756,4784,-132.2401885986328
1687635199.546048,5082,-127.91040802001953
1687635200.4780056,5547,-125.04082489013672
1687635201.459968,6027,-121.02072143554688
1687635202.3054876,6364,-118.02197265625
1687635203.0450156,6688,-114.9229736328125
1687635204.4319549,7103,-112.30613708496094
1687635206.1742005,7507,-110.43363189697266
1687635208.0982425,7859,-108.62338256835938
1687635210.1914337,8282,-106.76372528076172
1687635212.7157767,8773,-106.86155700683594
1687635214.0071769,9090,-105.759033203125
1687635215.1198444,9475,-105.24105834960938
1687635216.2070425,9911,-101.94645690917969
1687635217.1917002,10321,-99.46420288085938
1687635218.2244322,10717,-95.16607666015625
1687635219.3112,11103,-93.04517364501953
1687635220.9517915,11531,-87.816162109375
1687635222.0930762,11962,-84.14282989501953
1687635223.2908044,12413,-82.69331359863281
1687635224.6803553,12918,-78.06200408935547
1687635225.9043076,13388,-76.67237854003906
1687635227.0723164,13839,-73.31634521484375
1687635228.2791324,14229,-72.60394287109375
1687635229.331097,14638,-68.82777404785156
1687635230.5582469,15050,-67.40939331054688
1687635231.756669,15446,-65.99081420898438
1687635233.0663204,15873,-64.85304260253906
1687635234.3680942,16388,-62.45615005493164
1687635236.0018928,16896,-62.66450500488281
1687635237.0901623,17311,-62.25284957885742
1687635240.0252197,18169,-62.7016716003418
1687635241.2774544,18631,-62.99032211303711
1687635242.6348639,19136,-63.11377716064453
1687635244.9279437,19949,-60.92061233520508
1687635246.6695483,20566,-58.19694519042969
1687635255.265464,22651,-58.683475494384766
1687635263.855861,25002,-56.091243743896484
1687635281.0383108,29002,-56.00581359863281
1687635297.5065658,33002,-57.123573303222656
