episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-76.5,88,88,2023-06-13 05:44:32.998884,5:44
2,-100,-93.66666666666667,181,93,2023-06-13 05:44:34.408104,5:44
3,-100,-92.25,281,188,2023-06-13 05:44:35.994021,5:44
4,-100,-94.0,383,195,2023-06-13 05:44:37.663734,5:44
5,-100,-104.0,447,252,2023-06-13 05:44:38.628775,5:44
6,-100,-121.28571428571429,557,305,2023-06-13 05:44:40.520765,5:44
7,-100,-119.0,662,357,2023-06-13 05:44:42.159683,5:44
8,-100,-143.44444444444446,762,405,2023-06-13 05:44:43.588238,5:44
9,-100,-138.4,842,437,2023-06-13 05:44:44.789818,5:44
10,-100,-132.36363636363637,990,553,2023-06-13 05:44:47.152948,5:44
11,-100,-128.33333333333334,1051,498,2023-06-13 05:44:48.545104,5:44
12,-100,-127.3076923076923,1137,639,2023-06-13 05:44:50.198271,5:44
13,-100,-128.78571428571428,1202,563,2023-06-13 05:44:51.435624,5:44
14,-100,-125.86666666666666,1271,708,2023-06-13 05:44:52.691381,5:44
15,-100,-140.0,1357,649,2023-06-13 05:44:54.378156,5:44
16,-100,-138.23529411764707,1445,796,2023-06-13 05:44:56.057195,5:44
17,-100,-145.44444444444446,1551,755,2023-06-13 05:44:57.955516,5:44
18,-100,-144.78947368421052,1673,918,2023-06-13 05:45:00.301148,5:45
19,-100,-138.25,1782,864,2023-06-13 05:45:02.596678,5:45
20,-100,-132.14285714285714,1914,1050,2023-06-13 05:45:05.370497,5:45
21,-100,-129.0909090909091,1996,946,2023-06-13 05:45:07.073432,5:45
22,-100,-136.69565217391303,2116,1170,2023-06-13 05:45:09.315891,5:45
23,-100,-143.20833333333334,2205,1035,2023-06-13 05:45:11.039673,5:45
24,-100,-141.72,2312,1277,2023-06-13 05:45:13.011321,5:45
25,-100,-142.46153846153845,2389,1112,2023-06-13 05:45:14.603250,5:45
26,-100,-146.03703703703704,2517,1405,2023-06-13 05:45:17.051087,5:45
27,-100,-147.39285714285714,2612,1207,2023-06-13 05:45:18.869295,5:45
28,-100,-144.75862068965517,2718,1511,2023-06-13 05:45:20.955607,5:45
29,-100,-139.66666666666666,2800,1289,2023-06-13 05:45:22.646630,5:45
30,-100,-140.8709677419355,2914,1625,2023-06-13 05:45:24.822792,5:45
31,-100,-141.0,3006,1381,2023-06-13 05:45:26.473305,5:45
32,-100,-139.54545454545453,3098,1717,2023-06-13 05:45:27.648233,5:45
33,-100,-140.05882352941177,3199,1482,2023-06-13 05:45:29.002489,5:45
34,-100,-135.57142857142858,3272,1790,2023-06-13 05:45:29.848286,5:45
35,-100,-135.08333333333334,3370,1580,2023-06-13 05:45:30.943382,5:45
