episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,10.5,111,111,2023-06-13 09:41:30.590298,9:41
2,-100,-42.0,178,67,2023-06-13 09:41:31.522105,9:41
3,-100,-72.0,263,196,2023-06-13 09:41:32.843525,9:41
4,-100,-58.6,348,152,2023-06-13 09:41:34.188714,9:41
5,-100,-81.66666666666667,426,274,2023-06-13 09:41:35.322411,9:41
6,-100,-86.28571428571429,506,232,2023-06-13 09:41:36.586216,9:41
7,-100,-90.0,582,350,2023-06-13 09:41:37.647741,9:41
8,-100,-88.33333333333333,681,331,2023-06-13 09:41:39.036852,9:41
9,-100,-94.3,745,414,2023-06-13 09:41:39.910797,9:41
10,-100,-95.63636363636364,815,401,2023-06-13 09:41:41.002740,9:41
11,-100,-106.0,909,508,2023-06-13 09:41:42.537390,9:41
12,-100,-103.92307692307692,970,462,2023-06-13 09:41:43.416853,9:41
13,-100,-111.92857142857143,1053,591,2023-06-13 09:41:45.042768,9:41
14,-100,-112.53333333333333,1159,568,2023-06-13 09:41:47.046295,9:41
15,-100,-118.125,1282,714,2023-06-13 09:41:49.337038,9:41
16,-100,-115.47058823529412,1391,677,2023-06-13 09:41:51.128210,9:41
17,-100,-125.83333333333333,1506,829,2023-06-13 09:41:53.095967,9:41
18,-100,-126.26315789473684,1615,786,2023-06-13 09:41:54.918898,9:41
19,-100,-129.4,1736,950,2023-06-13 09:41:57.062220,9:41
20,-100,-125.9047619047619,1828,878,2023-06-13 09:41:58.809892,9:41
21,-100,-125.5909090909091,1959,1081,2023-06-13 09:42:01.046965,9:42
22,-100,-127.30434782608695,2052,971,2023-06-13 09:42:02.671665,9:42
23,-100,-123.58333333333333,2142,1171,2023-06-13 09:42:04.223406,9:42
24,-100,-128.24,2215,1044,2023-06-13 09:42:05.272155,9:42
25,-100,-131.23076923076923,2291,1247,2023-06-13 09:42:06.275251,9:42
26,-100,-130.7037037037037,2369,1122,2023-06-13 09:42:07.327850,9:42
27,-100,-126.71428571428571,2472,1350,2023-06-13 09:42:08.861957,9:42
28,-100,-125.62068965517241,2552,1202,2023-06-13 09:42:09.961299,9:42
29,-100,-125.5,2651,1449,2023-06-13 09:42:11.139984,9:42
30,-100,-132.41935483870967,2733,1284,2023-06-13 09:42:12.250128,9:42
31,-100,-137.78125,2833,1549,2023-06-13 09:42:13.766671,9:42
32,-100,-136.1818181818182,2942,1393,2023-06-13 09:42:15.238300,9:42
33,-100,-138.35294117647058,3086,1693,2023-06-13 09:42:17.219287,9:42
34,-100,-137.65714285714284,3183,1490,2023-06-13 09:42:18.553111,9:42
35,-100,-140.05555555555554,3290,1800,2023-06-13 09:42:19.991006,9:42
36,-100,-141.1891891891892,3388,1588,2023-06-13 09:42:21.590220,9:42
37,-100,-143.39473684210526,3470,1882,2023-06-13 09:42:22.712530,9:42
38,-100,-146.69230769230768,3583,1701,2023-06-13 09:42:24.385408,9:42
39,-100,-144.9,3650,1949,2023-06-13 09:42:25.288964,9:42
40,-100,-143.5609756097561,3759,1810,2023-06-13 09:42:26.743182,9:42
