episode,score,average score,time
0,-286.58620312426706,-286.58620312426706,2023-05-10 08:19:14.175206
1,-155.2117017636644,-220.89895244396573,2023-05-10 08:19:36.117626
2,-111.42375862761624,-184.40722117184922,2023-05-10 08:19:49.620535
3,-235.10464158754814,-197.08157627577395,2023-05-10 08:20:05.746063
4,-98.06144072200193,-177.27754916501956,2023-05-10 08:20:17.397755
5,-106.54586470443111,-165.4889350882548,2023-05-10 08:20:37.361484
6,-92.68253383303835,-155.08802062322388,2023-05-10 08:20:58.104820
7,-69.5001724503739,-144.38953960161763,2023-05-10 08:21:14.007100
8,-173.63222869995394,-147.63872727921054,2023-05-10 08:21:37.015819
9,-85.12966048503249,-141.38782059979275,2023-05-10 08:21:59.507449
10,-84.86605536743771,-136.24947830594226,2023-05-10 08:22:11.797475
11,-129.74749265230895,-135.7076461681395,2023-05-10 08:23:10.018051
12,-57.897124190779174,-129.72222140065023,2023-05-10 08:23:53.770851
13,-104.54945415904731,-127.92416659767859,2023-05-10 08:26:49.028198
14,-155.14536261810625,-129.73891299904045,2023-05-10 08:29:46.125819
15,-216.85213443189667,-135.18348933859397,2023-05-10 08:30:38.607000
16,-171.82162968288725,-137.33867406472888,2023-05-10 08:31:18.196987
17,-5.400645933833047,-130.00878361301244,2023-05-10 08:32:08.164400
18,-100.33920544512252,-128.44722686733402,2023-05-10 08:35:03.869990
19,-90.4135807981592,-126.54554456387527,2023-05-10 08:35:50.362140
20,-76.81532196832799,-124.17743872599208,2023-05-10 08:38:45.868059
21,-148.22177452959994,-125.27036308070151,2023-05-10 08:39:40.765780
22,-214.07149181504178,-129.13128172132502,2023-05-10 08:40:53.683205
23,-134.02397280584438,-129.33514384984667,2023-05-10 08:43:50.006982
24,-262.2544341921662,-134.65191546353944,2023-05-10 08:46:28.323522
25,-185.67053447492617,-136.61417004090046,2023-05-10 08:48:33.250559
26,-105.8117242833501,-135.47333871654675,2023-05-10 08:51:29.976707
27,-109.16153840295136,-134.53363156248977,2023-05-10 08:54:25.971047
28,-34.03541491832951,-131.06817581613942,2023-05-10 08:55:32.359867
29,-73.2630423668832,-129.14133803449755,2023-05-10 08:58:29.573286
30,-89.9639970554453,-127.8775528416249,2023-05-10 09:01:26.355006
31,-143.80419420419298,-128.37526038420515,2023-05-10 09:04:22.807026
32,-111.91181622751185,-127.87636813703261,2023-05-10 09:07:19.341549
33,-82.7664465049523,-126.54960573608908,2023-05-10 09:10:15.214154
34,-102.9703112080635,-125.87591160671691,2023-05-10 09:13:12.341196
35,-137.76084879288564,-126.20604875077714,2023-05-10 09:16:09.537310
36,-68.81169265883955,-124.65484993748154,2023-05-10 09:19:04.837332
37,-61.57408349842153,-122.9948297680326,2023-05-10 09:19:52.704207
38,-79.0757388500633,-121.86869923167443,2023-05-10 09:22:48.604189
39,-78.55272581444706,-120.78579989624374,2023-05-10 09:25:44.523707
40,-144.0079902373323,-121.35219478261178,2023-05-10 09:28:41.376429
41,-99.13604465353495,-120.82323882715755,2023-05-10 09:31:39.547725
42,-80.13974661325013,-119.87711110125274,2023-05-10 09:34:41.446686
