episode,score,average score,time
0,-135.33692678924385,-135.33692678924385,2023-05-09 21:26:26.044872
1,-99.25313462868479,-117.29503070896432,2023-05-09 21:26:40.935142
2,-98.28862685218526,-110.95956275670464,2023-05-09 21:26:57.646934
3,-326.2285607511542,-164.77681225531703,2023-05-09 21:27:16.945081
4,-111.67358719935717,-154.15616724412504,2023-05-09 21:27:38.949601
5,-70.26284531308079,-140.17394692228433,2023-05-09 21:28:01.921867
6,-143.57444001017765,-140.65973164912626,2023-05-09 21:28:18.951918
7,-72.80329286708809,-132.1776768013715,2023-05-09 21:28:36.731058
8,-124.71854887056546,-131.3488848090597,2023-05-09 21:28:53.982352
9,-73.32759034190265,-125.54675536234399,2023-05-09 21:29:12.058830
10,-108.94853027135254,-124.03782580861751,2023-05-09 21:29:30.335122
11,-49.555449912666276,-117.83096115062158,2023-05-09 21:29:49.560344
12,-72.5226616519429,-114.3457073430309,2023-05-09 21:30:18.890534
13,-101.03469125298278,-113.39492047945603,2023-05-09 21:30:42.142861
14,-49.31893743714894,-109.12318827663556,2023-05-09 21:31:06.977235
15,-78.05159997326318,-107.18121400767478,2023-05-09 21:31:37.883509
16,-612.8530093280021,-136.92661373239994,2023-05-09 21:32:13.697132
17,276.1884494404319,-113.97577688946483,2023-05-09 21:33:42.269396
18,-47.34310592346494,-110.46879420704377,2023-05-09 21:33:59.585237
19,-81.979196126009,-109.04431430299203,2023-05-09 21:35:28.682608
20,-35.04232428966324,-105.52041001664304,2023-05-09 21:36:05.542304
21,-182.07360297091455,-109.00010060547356,2023-05-09 21:37:06.981818
22,-60.374845729222265,-106.8859590891148,2023-05-09 21:37:54.167467
23,-32.82495970067886,-103.80008411459664,2023-05-09 21:38:27.231779
24,-55.338318028732076,-101.86161347116206,2023-05-09 21:39:24.002276
25,-30.57448706775142,-99.11980091718472,2023-05-09 21:40:18.308623
26,-200.7279686881417,-102.88306639018312,2023-05-09 21:41:40.907216
27,-63.23084744225841,-101.46691571347152,2023-05-09 21:42:41.953428
28,-166.66128162990984,-103.71499729679698,2023-05-09 21:43:36.363623
29,-486.25764525239754,-116.466418895317,2023-05-09 21:44:42.073195
30,-34.48510464153436,-113.82186037100143,2023-05-09 21:45:22.753348
31,-249.34006845269235,-118.0568043735543,2023-05-09 21:46:18.206136
32,-186.72460747974094,-120.1376468919236,2023-05-09 21:46:37.327028
33,-112.07565549974647,-119.90052949803602,2023-05-09 21:48:35.204324
34,-109.01015924394599,-119.58937606220489,2023-05-09 21:48:52.267785
