episode,score,average score,time
0,-352.1084220855546,-352.1084220855546,2023-05-09 18:37:38.177305
1,-118.94332193909696,-235.52587201232578,2023-05-09 18:37:38.868917
2,-184.94085193199186,-218.66419865221448,2023-05-09 18:37:39.638098
3,-115.55701992705177,-192.8874039709238,2023-05-09 18:37:40.592656
4,-166.6306378173914,-187.6360507402173,2023-05-09 18:37:41.704409
5,-92.03979391111349,-171.7033412687,2023-05-09 18:37:42.717878
6,-229.61239162085147,-179.97606274757877,2023-05-09 18:37:43.457022
7,-193.90008204966256,-181.71656516033926,2023-05-09 18:37:44.972196
8,7.224736230094379,-160.72308722806886,2023-05-09 18:37:46.208159
9,-77.73001442214431,-152.4237799474764,2023-05-09 18:37:47.185833
10,-8.583994911931242,-139.34743585333592,2023-05-09 18:37:49.394146
11,-384.1891217909964,-159.75090968147433,2023-05-09 18:37:53.260870
12,-248.43562952262562,-166.57281120771674,2023-05-09 18:37:54.596612
13,-39.00371639428184,-157.46073300675712,2023-05-09 18:37:56.980743
14,-187.44422942085114,-159.45963276769672,2023-05-09 18:38:07.416199
15,-109.23618184750889,-156.32066708518494,2023-05-09 18:38:11.253165
16,-132.81113326697798,-154.93775333117276,2023-05-09 18:38:16.652897
17,-192.45339603110074,-157.02195570339097,2023-05-09 18:38:24.818994
18,144.15301114506877,-141.1706416587352,2023-05-09 18:38:30.573134
19,-147.59884130706138,-141.4920516411515,2023-05-09 18:38:36.512654
20,-138.52942394470364,-141.35097413179685,2023-05-09 18:38:43.054358
21,11.419940059844066,-134.40684166854044,2023-05-09 18:38:45.235745
22,-149.57016568188436,-135.06611662564234,2023-05-09 18:38:50.274106
23,-12.963225522756147,-129.9784961630221,2023-05-09 18:38:51.794016
24,-113.00012313924589,-129.29936124207106,2023-05-09 18:38:58.468840
25,-167.1617177824443,-130.7556057243931,2023-05-09 18:39:00.361225
26,-234.84602936161855,-134.6108065998459,2023-05-09 18:39:12.534137
27,-224.99138072068519,-137.83868424701873,2023-05-09 18:39:24.502267
28,-85.8719939307106,-136.04672940852535,2023-05-09 18:39:38.812209
29,-29.772544375257432,-132.5042565740831,2023-05-09 18:39:53.512021
30,-28.53258402658351,-129.150331653196,2023-05-09 18:40:08.146792
