episode,score,average score,time
0,-100.36714187063096,-100.36714187063096,2023-05-09 20:25:16.826803
1,-107.49171944184275,-103.92943065623686,2023-05-09 20:25:17.903628
2,-180.62998324562653,-129.49628151936676,2023-05-09 20:25:18.794613
3,-82.1708126882365,-117.66491431158418,2023-05-09 20:25:19.731538
4,-287.3603025967583,-151.603991968619,2023-05-09 20:25:21.293823
5,-186.04665704906247,-157.3444361486929,2023-05-09 20:25:22.277682
6,-163.14212348948814,-158.17267719737794,2023-05-09 20:25:23.416049
7,-121.95612416734983,-153.64560806862443,2023-05-09 20:25:24.750805
8,-121.19171107130428,-150.03961951336663,2023-05-09 20:25:26.684484
9,-148.00895457706582,-149.83655301973656,2023-05-09 20:25:27.637625
10,-72.4828178087906,-142.80439527328693,2023-05-09 20:25:31.833690
11,-54.0283603021435,-135.40639235902498,2023-05-09 20:25:33.697387
12,-54.78873549993398,-129.2050341390949,2023-05-09 20:25:35.569737
13,-70.775318813913,-125.03148304443904,2023-05-09 20:25:39.754196
14,-178.3691960690897,-128.58733057941575,2023-05-09 20:25:49.323533
15,-65.85879191463852,-124.66679691286718,2023-05-09 20:25:54.737950
16,-19.263192933978985,-118.46658491410905,2023-05-09 20:26:01.307301
17,-216.00553613922636,-123.88541553772669,2023-05-09 20:26:09.753315
18,-109.81444446517499,-123.14483811285554,2023-05-09 20:26:14.275252
19,-131.8154402811101,-123.57836822126826,2023-05-09 20:26:19.749402
20,-10.82337260284136,-118.2090827156289,2023-05-09 20:26:22.569332
21,169.27433929486077,-105.14165444242481,2023-05-09 20:26:28.899429
22,-56.465205189106584,-103.02528708358489,2023-05-09 20:26:30.978779
23,70.34778841118671,-95.80140893796941,2023-05-09 20:26:44.205232
24,170.51971787483245,-85.14856386545733,2023-05-09 20:26:54.619502
25,-46.36909800856389,-83.6570459478845,2023-05-09 20:27:09.799734
26,-63.62621216269956,-82.91516321509988,2023-05-09 20:27:24.472642
27,-52.725928795474005,-81.83697627154181,2023-05-09 20:27:38.750015
28,-25.440553085804474,-79.89227202375776,2023-05-09 20:27:53.704920
29,-63.467765266745864,-79.3447884651907,2023-05-09 20:28:00.081931
30,-148.48343731727607,-81.57506746041926,2023-05-09 20:28:03.191026
31,-110.02938727556524,-82.46426495464257,2023-05-09 20:28:18.323310
32,-37.58296749977849,-81.1042256378285,2023-05-09 20:28:33.459394
33,-19.597073421009036,-79.29519174909854,2023-05-09 20:28:48.940555
34,-59.740071503765115,-78.7364740278033,2023-05-09 20:29:03.724348
35,-77.28214808857935,-78.69607608504708,2023-05-09 20:29:18.642482
36,-64.8690035819102,-78.32237142280015,2023-05-09 20:29:33.900823
37,-33.512763705831865,-77.14317121972202,2023-05-09 20:29:49.294827
38,-66.94189289737972,-76.8815999806876,2023-05-09 20:30:04.773616
39,-55.018298334461655,-76.33501743953195,2023-05-09 20:30:20.460077
40,-57.89319504711823,-75.88521689337553,2023-05-09 20:30:35.929091
41,-20.196228596111812,-74.55928860058353,2023-05-09 20:30:51.324481
42,-37.147841065178376,-73.68925493696946,2023-05-09 20:31:07.828817
43,-56.09793289708413,-73.2894521633357,2023-05-09 20:31:25.267397
44,-287.77994843149213,-78.05590763596139,2023-05-09 20:31:33.123169
45,174.4497944279728,-72.56665324326717,2023-05-09 20:31:40.292883
46,38.92531694648079,-70.19448366476189,2023-05-09 20:31:42.011652
47,-55.72414988811038,-69.89301837774832,2023-05-09 20:31:54.302116
48,-189.92548943947017,-72.34266064431408,2023-05-09 20:32:06.370688
49,-284.64122481114805,-76.58863192765075,2023-05-09 20:32:16.776913
50,-179.84120948349906,-78.61319227188307,2023-05-09 20:32:18.863510
51,-305.3743631506466,-82.9739840195516,2023-05-09 20:32:22.251802
52,-33.89167354364356,-82.04790268981748,2023-05-09 20:32:28.922176
53,168.948298737613,-77.3998248856058,2023-05-09 20:32:37.301343
54,-54.59995888558736,-76.98528186742364,2023-05-09 20:32:48.805583
55,27.359295977661173,-75.12198583447571,2023-05-09 20:33:00.740198
56,133.43827114261973,-71.46303395768456,2023-05-09 20:33:12.638856
57,-34.04578098309664,-70.81790890639857,2023-05-09 20:33:25.545847
58,-49.51578102800199,-70.45685589151049,2023-05-09 20:33:37.612107
59,-9.467407180832055,-69.44036507966584,2023-05-09 20:33:40.835517
60,-12.587411621622406,-68.50834944920612,2023-05-09 20:33:52.921337
61,-32.90555493632459,-67.93411082803061,2023-05-09 20:34:05.471089
62,190.2849570051623,-63.835395465598985,2023-05-09 20:34:14.966074
63,0.4558457283655244,-62.83084482194328,2023-05-09 20:34:27.626418
64,-23.73752743778252,-62.22940916987927,2023-05-09 20:34:40.106485
65,-69.27694026841364,-62.33618994409948,2023-05-09 20:34:52.209157
66,14.741686298567137,-61.1857738807761,2023-05-09 20:35:04.482808
67,-79.59954193795295,-61.45656458749929,2023-05-09 20:35:17.528763
