Wall time,Step,Value
1687646215.2765646,339,-171.287841796875
1687646215.8917341,692,-181.30044555664062
1687646216.452998,1010,-165.426025390625
1687646217.148706,1353,-165.21725463867188
1687646217.7214503,1683,-164.474365234375
1687646218.350874,2044,-154.5733642578125
1687646219.0150287,2411,-155.86447143554688
1687646219.8208768,2867,-149.9918670654297
1687646220.4040601,3199,-145.19471740722656
1687646221.092535,3588,-142.94247436523438
1687646221.7796032,3975,-140.21983337402344
1687646222.3626494,4304,-137.98745727539062
1687646222.9452069,4630,-135.4803924560547
1687646223.6640184,5035,-136.5398712158203
1687646224.2562544,5366,-133.33580017089844
1687646225.0136232,5787,-132.6515350341797
1687646225.6644566,6149,-130.60548400878906
1687646226.4542148,6587,-128.621826171875
1687646227.172185,6978,-126.8170166015625
1687646227.7684631,7306,-125.57393646240234
1687646228.4298854,7665,-122.61536407470703
1687646229.2779315,8124,-119.75827026367188
1687646230.056919,8541,-116.9552230834961
1687646230.908119,8996,-116.54911804199219
1687646231.577717,9347,-115.597900390625
1687646232.4677556,9810,-112.76971435546875
1687646233.3118768,10191,-106.70574951171875
1687646234.440608,10663,-104.76036834716797
1687646235.2461944,10997,-101.41057586669922
1687646236.1803389,11384,-99.47893524169922
1687646237.2016819,11800,-99.29175567626953
1687646238.2247052,12221,-94.68101501464844
1687646239.2167854,12629,-91.48326110839844
1687646240.0464778,12973,-89.59636688232422
1687646241.0925565,13408,-85.9336929321289
1687646242.0971963,13817,-82.27730560302734
1687646243.1995485,14272,-81.2452621459961
1687646244.1382093,14655,-79.75952911376953
1687646245.4424338,15182,-75.63619995117188
1687646246.6985111,15698,-73.39747619628906
1687646247.860105,16168,-69.78166198730469
1687646248.9679222,16608,-67.97335815429688
1687646249.9702075,17021,-67.87555694580078
1687646251.2152326,17528,-65.51371765136719
1687646252.53081,18056,-61.50308609008789
1687646254.9010549,18939,-60.219120025634766
1687646256.742074,19593,-60.56702423095703
1687646260.4585633,20826,-63.68960952758789
1687646269.716618,23482,-66.94953918457031
1687646277.276146,25751,-65.2878189086914
1687646287.7972517,28694,-65.7102279663086
1687646302.498279,32694,-67.25719451904297
1687646317.9088318,36194,-66.20082092285156
1687646332.4934103,40194,-64.84031677246094
1687646347.309455,44194,-62.62681198120117
1687646362.6678717,48194,-59.33647155761719
1687646372.735004,50767,-60.8431510925293
1687646388.4831185,54767,-60.791751861572266
1687646397.780633,57564,-55.692848205566406
1687646409.4332206,60866,-50.39665603637695
1687646418.7381988,63729,-42.53818130493164
1687646430.486853,67119,-33.0177001953125
1687646444.5309024,71068,-28.609092712402344
1687646454.4143214,74033,-25.40493392944336
1687646456.8964076,74917,-29.622726440429688
1687646464.4790885,77238,-32.77107238769531
1687646470.797192,79164,-37.1644172668457
1687646481.5195587,81937,-35.194366455078125
1687646497.5450025,85937,-32.28939437866211
1687646510.0004961,89150,-25.573627471923828
1687646519.159366,91859,-14.463135719299316
1687646524.855438,93594,-9.742473602294922
1687646530.3385885,95445,0.7423452734947205
1687646540.711527,98457,14.771821022033691
1687646548.1522484,100649,18.9113826751709
1687646552.103337,101891,25.405784606933594
1687646558.390368,103934,33.21642303466797
1687646560.049032,104558,35.25946807861328
1687646566.0882864,106563,44.58665466308594
1687646570.6328082,108025,49.00218200683594
1687646577.4423373,110233,54.12769317626953
1687646581.9716022,111617,57.99083709716797
1687646585.5218327,112811,61.02397155761719
1687646587.161958,113440,55.1488151550293
1687646589.0306926,114121,49.259986877441406
1687646594.7678576,115711,41.99129104614258
1687646598.0393147,116638,37.44882583618164
1687646599.9574118,117356,32.16167449951172
1687646601.752395,118026,27.74469757080078
1687646607.1191874,119782,33.181312561035156
1687646612.9411085,121525,37.83490753173828
1687646615.1955144,122348,45.16148376464844
1687646624.25181,125116,51.230194091796875
1687646626.7412024,125972,55.03855895996094
1687646632.4139614,127883,55.661075592041016
1687646638.5817795,129905,51.99128341674805
1687646644.14638,131697,52.33448791503906
1687646651.1500766,134076,55.69179153442383
1687646658.1652741,136270,54.83661651611328
1687646665.708804,138598,58.2986946105957
1687646676.8311582,141708,60.12746810913086
1687646684.701935,143864,57.93754196166992
1687646693.0004067,146074,58.180908203125
1687646700.86337,148255,58.451622009277344
1687646702.6335018,148916,60.09341812133789
1687646708.1583178,150535,62.3751220703125
1687646713.3715968,152103,65.9287338256836
1687646720.6303039,153749,67.57715606689453
1687646729.8546288,155770,73.98966979980469
1687646740.537779,158283,81.10565185546875
1687646751.6217527,160760,88.7442626953125
1687646762.2252936,163271,91.83149719238281
1687646774.2314765,165548,100.50896453857422
1687646781.8210747,167601,113.66030883789062
1687646793.0617306,170184,121.71990966796875
1687646806.280966,173440,128.5203094482422
1687646810.535045,174674,130.30641174316406
1687646817.3890834,176587,130.3469696044922
1687646822.9487193,178124,130.37478637695312
1687646831.5350218,180405,123.64229583740234
1687646835.4600992,181553,119.98397064208984
1687646842.8915396,183483,123.20388793945312
1687646849.876971,185380,117.89722442626953
1687646851.1559553,185817,110.74651336669922
1687646858.4638138,187620,111.38213348388672
1687646860.7556756,188300,109.5283432006836
1687646866.3505082,189676,111.45881652832031
1687646871.4506552,191073,113.4161605834961
1687646873.058603,191580,106.46467590332031
1687646877.5461411,192741,105.57418823242188
1687646881.0284696,193761,102.92585754394531
1687646890.594672,196315,105.73117065429688
1687646895.9110575,197823,110.105224609375
1687646908.3392098,201025,115.33842468261719
1687646916.6133718,203139,115.17716217041016
1687646922.1033359,204712,109.30084228515625
1687646926.7151446,205991,105.76402282714844
1687646929.0028703,206712,103.87140655517578
1687646933.841454,207935,95.96073913574219
1687646943.8768325,210043,92.76512908935547
1687646946.9460232,210898,88.74127960205078
1687646953.6441538,212533,89.49385833740234
1687646957.7939003,213762,89.1792984008789
1687646967.6686668,216234,90.78103637695312
1687646972.3934672,217510,95.38958740234375
1687646987.3710794,220977,99.89280700683594
1687646996.214541,223577,102.99608612060547
1687647002.4745195,225479,103.45133209228516
1687647011.8113568,228178,114.99835968017578
1687647018.9032357,230523,118.5661392211914
1687647028.00304,233203,121.81019592285156
1687647037.7851546,235859,123.0047607421875
1687647045.4485261,238357,129.6571502685547
1687647051.7714393,240483,137.45758056640625
1687647059.715228,243083,141.7811279296875
1687647065.8434532,245129,145.73602294921875
1687647074.7990258,247867,143.32958984375
1687647081.2631829,249762,138.6295928955078
