Wall time,Step,Value
1687652685.7878509,361,-225.65269470214844
1687652686.4045172,705,-231.95205688476562
1687652687.2327204,1156,-278.45062255859375
1687652687.8148055,1466,-299.1566162109375
1687652688.76639,1961,-319.6654357910156
1687652689.5323114,2383,-315.6907958984375
1687652690.1868734,2743,-304.2774658203125
1687652690.9740825,3142,-314.21380615234375
1687652691.5890462,3470,-309.9779968261719
1687652692.3904104,3878,-306.397705078125
1687652693.0154443,4215,-305.1828308105469
1687652693.724342,4565,-300.55206298828125
1687652694.4191952,4936,-296.2340393066406
1687652695.1477687,5320,-290.4093933105469
1687652695.9434884,5746,-293.99078369140625
1687652696.707812,6134,-298.35870361328125
1687652697.5315263,6571,-299.55029296875
1687652698.2704234,6972,-301.9554443359375
1687652699.1359937,7410,-301.2124938964844
1687652699.69253,7704,-292.9335021972656
1687652700.486543,8108,-286.82135009765625
1687652701.1501586,8460,-281.25299072265625
1687652701.823383,8815,-277.7114562988281
1687652702.6268086,9222,-272.1697998046875
1687652703.5294466,9671,-266.8119812011719
1687652704.3344653,10033,-262.3177185058594
1687652705.4342103,10480,-259.0621643066406
1687652706.577784,10917,-257.3498840332031
1687652707.626837,11327,-250.5084991455078
1687652708.646205,11733,-242.72413635253906
1687652709.5898438,12112,-238.69082641601562
1687652710.6382916,12505,-237.09996032714844
1687652711.5671728,12883,-228.49917602539062
1687652712.4882624,13260,-223.06234741210938
1687652713.7919812,13742,-219.12425231933594
1687652714.9019945,14140,-212.31698608398438
1687652715.9161303,14518,-209.51620483398438
1687652716.9024222,14867,-205.7782440185547
1687652717.923697,15268,-203.99700927734375
1687652718.9096515,15646,-193.70469665527344
1687652719.7841146,15982,-184.5147705078125
1687652720.89417,16424,-176.99929809570312
1687652721.9781284,16856,-171.27174377441406
1687652723.1315076,17279,-165.09132385253906
1687652724.6001372,17689,-167.705078125
1687652726.0011258,18114,-168.20126342773438
1687652727.5456314,18593,-165.55889892578125
1687652728.80271,18962,-160.6998748779297
1687652729.8671763,19383,-159.13333129882812
1687652731.0649865,19854,-156.52835083007812
1687652732.3397832,20282,-160.25270080566406
1687652733.5065606,20654,-159.09434509277344
1687652734.657693,21051,-151.11880493164062
1687652739.8327653,22356,-146.13613891601562
1687652740.8717453,22742,-144.31365966796875
1687652741.7524874,23094,-142.59934997558594
1687652742.8627703,23479,-139.03636169433594
1687652744.3802664,23928,-137.78591918945312
1687652745.765706,24354,-135.516357421875
1687652747.1698685,24775,-131.7683868408203
1687652748.1141303,25138,-131.46469116210938
1687652749.1052225,25480,-128.5145721435547
1687652750.4946826,25961,-126.4226303100586
1687652751.53406,26327,-124.40167236328125
1687652752.5923474,26717,-124.66487884521484
1687652753.8743312,27075,-123.0516128540039
1687652755.0959725,27548,-121.2386474609375
1687652756.4858112,27922,-116.0064468383789
1687652757.904578,28345,-115.21742248535156
1687652758.9329376,28735,-110.89697265625
1687652760.24315,29244,-106.62348175048828
1687652761.2269242,29625,-105.33203125
1687652762.7097638,30177,-107.7669448852539
1687652763.917367,30617,-107.43233489990234
1687652764.9882805,31027,-107.61019897460938
1687652766.299084,31519,-101.73458099365234
1687652767.387845,31937,-99.10844421386719
1687652768.5858846,32378,-96.83802795410156
1687652770.1440356,32969,-97.22245788574219
1687652771.0451193,33313,-93.3688735961914
1687652772.279188,33783,-89.3454360961914
1687652773.3522408,34191,-86.70301055908203
1687652774.481867,34625,-84.2614974975586
1687652775.422859,34989,-83.28901672363281
1687652776.576482,35431,-82.58241271972656
1687652777.8129401,35905,-80.67557525634766
1687652778.9738305,36350,-79.1552505493164
1687652780.330459,36867,-78.17301940917969
1687652781.5368226,37322,-75.79622650146484
1687652782.603363,37730,-74.64164733886719
1687652783.7910585,38188,-74.1048812866211
1687652784.9200318,38622,-72.6244125366211
1687652786.1983373,39083,-72.64997100830078
1687652787.757614,39680,-71.2278823852539
1687652788.824336,40088,-69.69013977050781
1687652790.1828637,40606,-71.96736145019531
1687652791.641971,41164,-72.34416961669922
1687652792.6926436,41565,-69.24433898925781
1687652793.8655448,42015,-68.75328063964844
1687652794.9176435,42419,-67.42650604248047
1687652796.6162887,43063,-67.35592651367188
1687652797.7880437,43510,-68.2545394897461
1687652798.8377519,43909,-69.00326538085938
1687652800.2486908,44447,-68.5728530883789
1687652801.364273,44874,-68.06147766113281
1687652802.4859223,45304,-69.5418701171875
1687652803.7080238,45771,-71.48573303222656
1687652805.0003712,46262,-71.18905639648438
1687652806.2406943,46734,-70.91608428955078
1687652807.518261,47222,-71.26069641113281
1687652809.0533824,47801,-72.7830810546875
1687652810.167318,48228,-74.18077087402344
1687652811.2630382,48648,-74.82737731933594
1687652812.2505386,49018,-74.99885559082031
1687652813.243866,49399,-75.33180236816406
1687652814.6799338,49938,-79.88514709472656
1687652815.6949883,50322,-81.81356811523438
1687652816.9856648,50816,-83.6792221069336
1687652818.2153397,51280,-82.74382781982422
1687652819.3031955,51698,-84.69557189941406
1687652820.7298534,52238,-84.16620635986328
1687652821.9557285,52707,-85.58422088623047
1687652823.2722228,53209,-86.70048522949219
1687652824.3542004,53621,-85.774658203125
1687652825.38326,54015,-87.51114654541016
1687652826.8987331,54584,-88.27430725097656
1687652828.1542842,55057,-87.91477966308594
1687652829.537769,55583,-86.71958923339844
1687652830.9099405,56104,-87.18180847167969
1687652832.5939522,56740,-90.9790267944336
1687652833.8030322,57203,-90.6735610961914
1687652834.9235942,57632,-90.90276336669922
1687652836.3106368,58153,-91.20317840576172
1687652837.5553067,58628,-91.90111541748047
1687652838.8195562,59106,-93.64820098876953
1687652840.003486,59556,-93.75188446044922
1687652840.806787,59863,-91.920166015625
1687652843.9013941,60881,-91.1861343383789
1687652845.481763,61477,-93.15859985351562
1687652846.5782943,61894,-93.31006622314453
1687652847.986759,62425,-90.61434936523438
1687652849.3410156,62938,-90.20359802246094
1687652850.396925,63342,-89.98951721191406
1687652851.6401763,63815,-91.93675994873047
1687652853.0975442,64365,-92.00945281982422
1687652854.25599,64807,-91.885498046875
1687652855.302014,65207,-92.0396499633789
1687652856.7632022,65734,-92.53736877441406
