Wall time,Step,Value
1687656342.276408,346,-192.282958984375
1687656342.8988495,689,-221.45675659179688
1687656343.6725907,1128,-222.2088623046875
1687656344.351248,1492,-259.92840576171875
1687656345.0263832,1873,-270.4361877441406
1687656345.6472025,2222,-250.46051025390625
1687656346.2386832,2555,-251.07015991210938
1687656346.8562145,2903,-244.44451904296875
1687656347.4990811,3266,-246.68055725097656
1687656348.146415,3630,-254.19427490234375
1687656348.723916,3955,-237.0125274658203
1687656349.4346318,4351,-240.4405975341797
1687656350.1571,4753,-248.1497802734375
1687656350.723575,5066,-234.96923828125
1687656351.4158137,5442,-231.5193328857422
1687656352.1274877,5833,-227.99127197265625
1687656352.8991778,6255,-222.54946899414062
1687656353.5608852,6620,-216.74163818359375
1687656354.2306037,6988,-215.95375061035156
1687656354.8322186,7309,-210.85662841796875
1687656355.5462108,7698,-205.53062438964844
1687656356.264919,8082,-202.12435913085938
1687656356.961789,8463,-198.0400390625
1687656357.7545376,8892,-193.49143981933594
1687656358.5932474,9335,-191.11961364746094
1687656359.3023126,9709,-188.1772003173828
1687656360.209044,10184,-180.62393188476562
1687656361.3630636,10695,-176.15846252441406
1687656362.2709517,11074,-165.7401885986328
1687656363.1919558,11454,-157.65171813964844
1687656364.0475843,11811,-157.53021240234375
1687656364.909564,12169,-149.64797973632812
1687656365.878503,12571,-146.27830505371094
1687656366.9149747,12991,-140.18124389648438
1687656368.6105614,13637,-132.45701599121094
1687656369.5699537,14027,-133.9342498779297
1687656371.9877467,14887,-128.5787353515625
1687656372.8915644,15227,-122.09573364257812
1687656374.63169,15908,-122.98831939697266
1687656375.9354544,16419,-119.72818756103516
1687656376.8870835,16806,-118.84552764892578
1687656378.1449373,17316,-118.36543273925781
1687656379.5486548,17869,-116.1367416381836
1687656381.2510393,18537,-115.959716796875
1687656382.1966734,18918,-116.5818099975586
1687656383.6297753,19470,-120.21707153320312
1687656387.447102,20616,-120.41583251953125
1687656391.0532644,21882,-124.16967010498047
1687656392.4210129,22416,-128.73651123046875
1687656394.4055946,23167,-127.57666015625
1687656396.2521234,23868,-128.91534423828125
1687656398.4302905,24697,-133.91537475585938
1687656399.7138925,25155,-131.10000610351562
1687656402.1439452,26034,-131.9462127685547
1687656405.4509888,27164,-130.825439453125
1687656408.6344514,28298,-136.61293029785156
1687656414.671794,29936,-141.75086975097656
1687656416.7716718,30720,-139.5708465576172
1687656424.2121158,32893,-139.68109130859375
1687656430.25766,34723,-136.48658752441406
1687656433.668133,35876,-135.3708038330078
1687656441.2379472,38150,-131.5284881591797
1687656447.0509527,39959,-123.09491729736328
1687656449.3333097,40790,-121.21513366699219
1687656455.0396707,42609,-117.60071563720703
1687656458.012389,43610,-110.95668029785156
1687656460.798118,44581,-104.20825958251953
1687656467.2968996,46579,-95.62149047851562
1687656470.6047719,47694,-83.84178161621094
1687656473.6062117,48766,-76.77889251708984
1687656476.4023643,49738,-65.40735626220703
1687656479.7302673,50868,-55.90607833862305
1687656484.4290743,52479,-40.89796829223633
1687656489.6597478,54181,-27.06670570373535
1687656493.6061232,55539,-21.3386173248291
1687656496.5901,56576,-13.988348960876465
1687656501.210144,58112,-4.280782699584961
1687656506.2226536,59686,1.8675873279571533
1687656508.1766782,60429,7.702516078948975
1687656511.820105,61641,18.630046844482422
1687656515.3204823,62788,33.0336799621582
1687656520.130192,64386,51.06403350830078
1687656525.2486243,65978,59.68893814086914
1687656527.9182065,66892,64.09953308105469
1687656532.805377,68423,65.27043151855469
1687656538.9859195,70348,70.14409637451172
1687656544.8592834,72175,73.09467315673828
1687656549.246163,73586,74.42333221435547
1687656555.6435344,75446,78.78742980957031
1687656558.8212047,76503,76.89652252197266
1687656563.4328802,78066,82.54520416259766
1687656571.0874946,80310,82.09435272216797
1687656572.89095,80978,75.59900665283203
1687656579.4402542,83053,78.44746398925781
1687656583.539183,84420,80.40595245361328
1687656587.8483682,85849,83.78624725341797
1687656594.369389,87870,83.41864013671875
1687656596.4439435,88655,80.78750610351562
1687656600.2379308,89836,79.1541748046875
1687656603.608998,90970,82.86060333251953
1687656606.6427176,91995,83.73373413085938
1687656610.8931448,93391,82.31391906738281
1687656614.610374,94622,82.04876708984375
1687656617.462382,95646,76.41717529296875
1687656619.9178889,96544,62.475341796875
1687656622.3861775,97413,56.14620590209961
1687656624.3739414,98155,43.43096923828125
1687656627.836033,99335,41.89878845214844
1687656629.4894567,99961,41.73277282714844
1687656635.6030314,101858,49.7603874206543
1687656639.122592,103054,52.500030517578125
1687656644.9748838,104940,61.96704864501953
1687656648.1038737,106033,65.78423309326172
1687656651.2933397,107140,63.949668884277344
1687656656.1814277,108674,70.24727630615234
1687656658.2321293,109446,63.43805694580078
1687656660.7099571,110317,63.6733512878418
