"Nível territorial","Seleção atual","codigo_ibge","regint_id","city_id","city","nro_medicoes","tcp_down_median_mbps","tcp_up_median_mbps","rtt_median_ms","rtt_lost_package_pct","jitter_download_ms","jitter_upload_ms","nro_asns","medicoes_ipv6_porc"
"Federação","Brasil","11","1102","1100015","ALTA FLORESTA D'OESTE",69,44.2590565,53.995138,45.609,0,1.4265,1.9775,3,10.1449275362319
"Federação","Brasil","11","1101","1100023","ARIQUEMES",80,35.3445775,54.721552,47.647,1.25,1.6785,2.0095,6,6.25
"Federação","Brasil","11","1102","1100031","CABIXI",1,198.240005,171.852325,13.446,1,0.5,0.502,1,0
"Federação","Brasil","11","1102","1100049","CACOAL",170,86.192064,81.715183,45.7325,0,0.443,0.7545,7,20.5882352941176
"Federação","Brasil","11","1102","1100056","CEREJEIRAS",22,192.765042,46.5792165,20.011,0,1.5445,0.3395,2,22.7272727272727
"Federação","Brasil","11","1102","1100064","COLORADO DO OESTE",31,151.9063835,111.375561,13.672,0,0.1605,0.141,2,0
"Federação","Brasil","11","1102","1100072","CORUMBIARA",1,120.606354,217.212936,15.49,0,0.285,0.412,1,0
"Federação","Brasil","11","1102","1100080","COSTA MARQUES",2,4.491139,7.414392,110.338,1.5,5.487,19.196,1,0
"Federação","Brasil","11","1102","1100098","ESPIGÃO D'OESTE",41,87.576385,78.277245,18.876,1,0.564,1.04,3,26.8292682926829
"Federação","Brasil","11","1101","1100106","GUAJARÁ-MIRIM",873,4.968,0.499,102.2255,0,0.3365,1.018,4,4.23825887743414
"Federação","Brasil","11","1101","1100114","JARU",58,46.9566075,32.168998,48.5175,1.7,1.3505,2.37,4,10.3448275862069
"Federação","Brasil","11","1102","1100122","JI-PARANÁ",86,55.040752,55.610033,59.288,0,0.145,0.698,3,29.0697674418605
"Federação","Brasil","11","1101","1100130","MACHADINHO D'OESTE",17,14.082348,46.55906,46.4735,0,2.997,3.941,3,5.88235294117647
"Federação","Brasil","11","1102","1100148","NOVA BRASILÂNDIA D'OESTE",2,113.096001,148.909996,51.338,0,0.572,1.695,1,0
"Federação","Brasil","11","1102","1100155","OURO PRETO DO OESTE",86,84.346975,56.42566,19.508,0,1.081,1.3,4,34.8837209302326
"Federação","Brasil","11","1102","1100189","PIMENTA BUENO",273,121.0147865,141.748428,43.785,0,0.3345,0.415,6,18.3150183150183
"Federação","Brasil","11","1101","1100205","PORTO VELHO",1003,54.287003,66.336391,64.358,0.05,0.99,0.818,16,24.9252243270189
"Federação","Brasil","11","1102","1100254","PRESIDENTE MÉDICI",62,18.242046,37.823592,82.14,1.6,1.9605,2.781,3,24.1935483870968
"Federação","Brasil","11","1102","1100288","ROLIM DE MOURA",69,99.483144,95.810112,31.172,1,0.551,1.8135,4,11.5942028985507
"Federação","Brasil","11","1102","1100296","SANTA LUZIA D'OESTE",2,187.222027,64.334,44.008,0,0.714,0.548,1,0
"Federação","Brasil","11","1102","1100304","VILHENA",1323,131.853749,92.495126,30.365,0,0.1835,0.0825,6,5.97127739984883
"Federação","Brasil","11","1102","1100320","SÃO MIGUEL DO GUAPORÉ",56,51.7914355,40.6065245,50.1975,0,1.017,1.91,3,8.92857142857143
"Federação","Brasil","11","1101","1100338","NOVA MAMORÉ",40,43.899963,68.709084,75.238,0,1.568,1.138,3,15
"Federação","Brasil","11","1101","1100403","ALTO PARAÍSO",7,9.033581,8.694496,107.121,1.25,1.15,15.428,2,14.2857142857143
"Federação","Brasil","11","1101","1100452","BURITIS",12,51.827869,53.336664,22.497,2,1.442,1.803,2,16.6666666666667
"Federação","Brasil","11","1102","1100502","NOVO HORIZONTE DO OESTE",3,36.588789,75.1067105,34.72,0,0.185,0.3995,1,33.3333333333333
"Federação","Brasil","11","1101","1100601","CACAULÂNDIA",1,2.417219,6.896681,92.998,2,5.243,20.249,1,0
"Federação","Brasil","11","1101","1100700","CAMPO NOVO DE RONDÔNIA",5,30.381284,34.71088,19.2455,NA,2.4905,7.313,1,0
"Federação","Brasil","11","1101","1100809","CANDEIAS DO JAMARI",37,76.262807,23.0445,55.406,0.25,1.747,2.154,4,21.6216216216216
"Federação","Brasil","11","1102","1100908","CASTANHEIRAS",2,25.728311,29.144642,17.148,NA,1.859,0.979,1,0
"Federação","Brasil","11","1102","1100924","CHUPINGUAIA",4,60.8714545,69.4120795,27.1225,NA,1.526,1.0425,1,0
"Federação","Brasil","11","1101","1100940","CUJUBIM",9,32.546337,46.311239,36.743,0,2.147,2.8175,2,0
"Federação","Brasil","11","1101","1101005","GOVERNADOR JORGE TEIXEIRA",1,209.585999,184.992996,45.171,0,0.705,0.617,1,0
"Federação","Brasil","11","1101","1101104","ITAPUÃ DO OESTE",1,18.061314,21.458303,54.583,0,2.398,4.036,1,0
"Federação","Brasil","11","1102","1101203","MINISTRO ANDREAZZA",2,22.95936,14.81472,18.038,0,0.42,7.909,1,0
"Federação","Brasil","11","1102","1101302","MIRANTE DA SERRA",4,55.072701,28.693254,13.498,0,0.259,0.564,1,0
"Federação","Brasil","11","1101","1101401","MONTE NEGRO",5,79.5160895,291.525754,38.444,1,1.871,2.687,2,0
"Federação","Brasil","11","1102","1101435","NOVA UNIÃO",2,0.945,34.759,51.202,21.4,9.59,4.68,1,0
"Federação","Brasil","11","1102","1101450","PARECIS",1,0.092,3.462,43.991,43.9,3.106,29.952,1,0
"Federação","Brasil","11","1102","1101476","PRIMAVERA DE RONDÔNIA",2,NA,NA,30.599,NA,0.315,0.356,1,0
"Federação","Brasil","11","1102","1101492","SÃO FRANCISCO DO GUAPORÉ",16,31.08132,31.25108,21.398,7.2,1.358,2.538,2,31.25
"Federação","Brasil","11","1102","1101500","SERINGUEIRAS",9,99.100899,44.357556,98.687,0.4,0.51,6.046,2,33.3333333333333
"Federação","Brasil","11","1101","1101609","THEOBROMA",2,3.590476,2.044737,156.299,NA,0.803,29.573,1,0
"Federação","Brasil","11","1102","1101708","URUPÁ",22,24.492755,13.9440525,39.3195,1.1,1.0095,1.2645,1,0
"Federação","Brasil","11","1102","1101807","VALE DO PARAÍSO",2,187.748497,124.472916,18.4925,0,0.812,0.7065,1,0
"Federação","Brasil","12","1201","1200104","BRASILÉIA",25,36.120365,22.818312,82.237,0,2.731,4.268,2,40
"Federação","Brasil","12","1201","1200179","CAPIXABA",2,35.846539,25.122816,78.168,0,0.531,2.609,1,100
"Federação","Brasil","12","1202","1200203","CRUZEIRO DO SUL",59,21.655086,64.51239,93.58,1.4,0.978,0.954,4,13.5593220338983
"Federação","Brasil","12","1201","1200252","EPITACIOLÂNDIA",6,57.9429225,73.508329,74.1875,2,1.9435,0.607,1,16.6666666666667
"Federação","Brasil","12","1202","1200302","FEIJÓ",17,27.1082985,39.831053,230.37,0.75,2.1125,8.066,3,23.5294117647059
"Federação","Brasil","12","1202","1200336","MÂNCIO LIMA",13,81.7092075,47.3516375,107.6735,2,1.442,6.3795,1,38.4615384615385
"Federação","Brasil","12","1201","1200344","MANOEL URBANO",1,229.780884,191.771271,74.996,NA,0.234,0.39,1,0
"Federação","Brasil","12","1201","1200385","PLÁCIDO DE CASTRO",11,68.705597,34.895573,99.964,0,0.962,1.443,1,54.5454545454545
"Federação","Brasil","12","1201","1200401","RIO BRANCO",487,65.576998,41.108999,67.181,0,0.06,0.827,6,8.2135523613963
"Federação","Brasil","12","1202","1200427","RODRIGUES ALVES",6,3.226157,0.604857,117.887,1,0.309,1.067,1,0
"Federação","Brasil","12","1201","1200450","SENADOR GUIOMARD",4,2.85755,0.471478,91.9435,0.5,0.2965,5.906,1,25
"Federação","Brasil","12","1201","1200500","SENA MADUREIRA",21,22.645142,10.6803115,131.952,0.75,1.8945,7.3515,2,28.5714285714286
"Federação","Brasil","12","1202","1200609","TARAUACÁ",23,2.851856,2.939954,84.634,12.5,1.104,0.762,2,30.4347826086957
"Federação","Brasil","12","1201","1200708","XAPURI",5,11.933661,12.3924805,87.956,0.5,5.0905,9.5255,1,80
"Federação","Brasil","12","1201","1200807","PORTO ACRE",3,21.840914,9.778542,189.095,7.5,22.266,10.933,1,33.3333333333333
"Federação","Brasil","13","1302","1300029","ALVARÃES",3,1.382806,0.496349,81.498,34,0.503,28.226,1,0
"Federação","Brasil","13","1303","1300144","APUÍ",3,0.392868,9.248217,36.598,NA,9.134,2.936,1,0
"Federação","Brasil","13","1302","1300201","ATALAIA DO NORTE",2,6.839531,2.098624,811.62,31.5,12.01,17.954,1,0
"Federação","Brasil","13","1301","1300300","AUTAZES",15,17.400992,15.829323,85.141,1,5.6185,1.5505,1,0
"Federação","Brasil","13","1301","1300409","BARCELOS",52,6.8786435,3.472632,468.8305,16,1.434,8.077,3,0
"Federação","Brasil","13","1301","1300631","BERURI",4,9.601013,7.3691825,72.9165,0,0.906,14.6605,1,25
"Federação","Brasil","13","1303","1300706","BOCA DO ACRE",20,9.519009,18.85216,108.577,1.5,2.583,0.641,3,5
"Federação","Brasil","13","1301","1300805","BORBA",5,11.169504,9.904917,90.5825,0,4.4505,5.5565,1,20
"Federação","Brasil","13","1303","1300904","CANUTAMA",2,0.685741,15.011328,184.845,0,2.519,7.675,2,0
