Wall time,Step,Value
1687694740.5566862,400,-171.86148071289062
1687694741.2683077,801,-165.8412322998047
1687694741.8842347,1146,-156.6989288330078
1687694742.5103216,1499,-148.46583557128906
1687694743.09366,1825,-168.08799743652344
1687694743.7820578,2212,-154.46669006347656
1687694744.5571535,2638,-149.97003173828125
1687694745.4276671,3105,-145.51795959472656
1687694746.0475523,3452,-144.45004272460938
1687694746.718757,3828,-136.17967224121094
1687694747.6600952,4342,-132.42503356933594
1687694748.373478,4728,-127.469482421875
1687694749.2054033,5188,-127.05043029785156
1687694749.8120258,5518,-122.49357604980469
1687694750.6506233,5978,-120.98551940917969
1687694751.3304617,6346,-119.37073516845703
1687694752.1342916,6782,-118.36111450195312
1687694752.7858946,7136,-114.56124877929688
1687694753.4094114,7473,-113.4902572631836
1687694754.1337502,7844,-111.75028228759766
1687694754.8404498,8224,-110.94076538085938
1687694755.6139238,8634,-109.72888946533203
1687694756.4057026,9054,-108.6054916381836
1687694757.0962667,9413,-106.21028137207031
1687694757.7116086,9749,-105.30389404296875
1687694758.4442537,10143,-103.21121215820312
1687694759.271324,10590,-99.86929321289062
1687694759.960335,10954,-97.61357879638672
1687694760.8425848,11329,-94.58931732177734
1687694761.9562123,11748,-86.7008056640625
1687694762.8556755,12104,-85.64263153076172
1687694763.7600121,12471,-82.8955307006836
1687694764.79048,12859,-80.51660919189453
1687694765.779036,13258,-77.69047546386719
1687694766.8508682,13669,-76.3496322631836
1687694767.6930997,14011,-73.811767578125
1687694768.8733838,14488,-75.21746063232422
1687694770.0467656,14928,-72.53658294677734
1687694771.8943737,15617,-74.92242431640625
1687694772.8669689,16013,-73.63983917236328
1687694773.8809278,16417,-71.75367736816406
1687694776.9430292,17295,-70.99636840820312
1687694777.988998,17700,-69.80046081542969
1687694779.1373167,18114,-67.36564636230469
1687694787.0325954,20395,-66.39338684082031
1687694802.966012,24395,-64.10494232177734
1687694818.6078465,28395,-61.732418060302734
1687694835.1561549,32395,-59.93265151977539
1687694844.7453384,35028,-61.70308303833008
1687694857.1697397,38256,-60.458900451660156
1687694868.3722425,40943,-60.29327392578125
1687694888.3569229,44708,-63.19640350341797
1687694900.2762418,47538,-68.04039764404297
1687694909.5735607,50267,-73.89921569824219
1687694920.4324083,53198,-76.63530731201172
1687694935.0283382,56893,-79.55500793457031
1687694947.9635696,60132,-80.37499237060547
1687694965.1015077,64132,-80.41278076171875
1687694981.45006,68132,-78.80021667480469
1687695001.427573,72132,-79.1346435546875
1687695012.3595288,74377,-78.05713653564453
1687695029.7156122,78377,-73.75659942626953
1687695043.5902727,81922,-70.24172973632812
1687695052.0689187,84350,-66.31788635253906
1687695068.2543766,88350,-64.64788818359375
1687695084.7846398,92350,-63.06570053100586
1687695097.9412425,95478,-59.51703643798828
1687695109.9858947,98600,-57.08637237548828
