Wall time,Step,Value
1687658188.4492116,304,-68.3646469116211
1687658189.3135114,741,-168.703857421875
1687658189.977854,1117,-167.76828002929688
1687658190.5756435,1459,-165.0818328857422
1687658191.2696621,1855,-160.5800018310547
1687658192.0347981,2289,-154.16897583007812
1687658192.579154,2602,-162.52120971679688
1687658193.19683,2953,-166.48858642578125
1687658194.0326312,3416,-163.14242553710938
1687658194.6853225,3752,-160.20037841796875
1687658195.407949,4149,-155.6742401123047
1687658196.3634179,4610,-151.42832946777344
1687658197.2635508,5056,-147.35243225097656
1687658197.9906807,5410,-145.3556671142578
1687658198.7852166,5764,-140.12828063964844
1687658201.711141,7001,-133.96168518066406
1687658202.520391,7426,-129.99050903320312
1687658203.4529173,7916,-125.90760803222656
1687658204.209615,8308,-122.8177261352539
1687658205.023519,8720,-120.25643920898438
1687658206.0503545,9190,-117.83846282958984
1687658207.1437361,9553,-115.85576629638672
1687658208.271044,9966,-114.03348541259766
1687658209.3046632,10327,-111.48274230957031
1687658210.800667,10788,-109.63301086425781
1687658211.920913,11136,-110.04715728759766
1687658213.2748377,11545,-102.42972564697266
1687658214.4905713,11916,-97.3148193359375
1687658215.64887,12336,-93.06340026855469
1687658216.7204125,12716,-90.34163665771484
1687658217.8855288,13086,-87.65875244140625
1687658218.9237497,13504,-80.17613220214844
1687658219.7513635,13838,-74.67963409423828
1687658220.7542362,14193,-72.02609252929688
1687658221.8357496,14608,-67.76468658447266
1687658223.091166,15078,-64.00499725341797
1687658224.1185255,15470,-61.52527618408203
1687658225.2114553,15911,-61.486541748046875
1687658226.2003663,16302,-60.247276306152344
1687658227.705214,16861,-60.39327621459961
1687658228.9399576,17351,-61.979248046875
1687658230.187008,17835,-61.239967346191406
1687658231.3853688,18305,-62.74387741088867
1687658232.6773698,18805,-60.364315032958984
1687658234.7770293,19589,-59.251529693603516
1687658240.8113194,21296,-60.68267822265625
1687658245.6937315,22574,-60.09257888793945
1687658262.0717928,26574,-59.20397186279297
1687658278.596377,30574,-58.196998596191406
1687658295.0279727,34574,-57.416664123535156
1687658311.1844168,38574,-56.03757858276367
1687658327.3257077,42574,-53.88592529296875
1687658342.4960647,46574,-53.17428970336914
1687658357.7702472,50574,-53.06588363647461
1687658368.8945775,53760,-52.38737487792969
1687658384.94874,57760,-51.9814338684082
1687658400.786275,61760,-53.08583068847656
1687658413.5300438,64842,-51.77436828613281
1687658430.9831653,68842,-51.33970260620117
1687658446.1625087,72220,-52.87091827392578
1687658460.967817,76220,-51.77821731567383
1687658478.0597634,80220,-50.75223159790039
1687658495.3110855,84220,-48.31577682495117
1687658510.2693863,87968,-45.95573806762695
1687658518.5702848,90166,-41.52928161621094
1687658521.1107423,91040,-35.42771911621094
1687658533.5579064,94156,-30.2530517578125
1687658540.8170867,96306,-19.084911346435547
1687658549.8840604,98662,-11.964486122131348
1687658556.1288981,100430,-0.8431791663169861
1687658567.351566,103631,10.554821968078613
1687658574.7234263,105841,21.308137893676758
1687658582.0289114,108174,32.237674713134766
1687658590.330651,110589,39.45330810546875
1687658599.6726003,113072,49.5154914855957
1687658605.2246335,114613,56.588932037353516
1687658607.1723733,115260,58.18434524536133
1687658619.936327,118324,68.4762191772461
1687658623.9456415,119501,77.94660949707031
1687658630.9098508,121363,88.24774932861328
1687658637.7337933,123346,97.52799987792969
1687658648.467403,126199,106.51242065429688
1687658653.7511406,127908,117.62366485595703
1687658656.4657521,128818,122.5714111328125
