Wall time,Step,Value
1687697155.4566455,344,-140.09768676757812
1687697156.2698052,737,-164.376953125
1687697157.2170837,1219,-161.6039581298828
1687697157.8511426,1556,-168.22740173339844
1687697158.5417967,1898,-176.59063720703125
1687697159.2523773,2302,-172.40878295898438
1687697160.041038,2690,-184.08738708496094
1687697160.8281696,3086,-173.03184509277344
1687697161.777805,3572,-165.70469665527344
1687697162.5203288,3924,-164.03993225097656
1687697163.3735085,4366,-161.699462890625
1687697164.1278598,4747,-163.69204711914062
1687697165.087752,5124,-159.31141662597656
1687697165.9191313,5587,-155.60726928710938
1687697166.7165864,6031,-151.99476623535156
1687697167.6451588,6543,-146.95159912109375
1687697168.3916337,6963,-142.33062744140625
1687697169.1560364,7387,-138.3573760986328
1687697169.7993782,7748,-136.91671752929688
1687697170.606334,8194,-134.63131713867188
1687697171.3456035,8604,-131.98446655273438
1687697171.9927962,8954,-131.58505249023438
1687697172.729344,9359,-129.8927764892578
1687697173.3776658,9710,-126.75753784179688
1687697173.9900646,10048,-124.8385009765625
1687697174.7724702,10455,-121.59561157226562
1687697175.7072313,10860,-115.59634399414062
1687697176.6668665,11271,-112.56124877929688
1687697177.655874,11696,-107.71463012695312
1687697178.8504965,12198,-102.65850830078125
1687697179.8382773,12611,-99.39777374267578
1687697180.8248994,13029,-91.79204559326172
1687697181.729086,13400,-90.22553253173828
1687697182.7151887,13800,-88.2295913696289
1687697183.6731107,14205,-85.06822204589844
1687697184.876785,14709,-81.2676773071289
1687697185.842234,15116,-74.58251190185547
1687697187.6943202,15838,-72.66461944580078
1687697188.802919,16302,-70.74010467529297
1687697191.7185187,17364,-70.57968139648438
1687697193.1913073,17954,-73.40184020996094
1687697196.7541435,19240,-75.2216567993164
1687697197.9038262,19712,-72.67414093017578
1687697199.1201725,20210,-69.92424774169922
1687697200.9508173,20915,-68.63666534423828
1687697205.229239,22281,-70.00629425048828
1687697209.6814919,23791,-68.87028503417969
1687697212.6821852,24771,-65.99159240722656
1687697221.1243792,27371,-66.16654205322266
1687697234.5681324,31371,-63.371028900146484
1687697248.8387258,35371,-61.60152816772461
1687697264.8189209,39371,-60.7401123046875
1687697279.3886056,43371,-61.37099838256836
1687697290.6209674,46454,-66.4080581665039
1687697298.6751306,48679,-67.8345947265625
1687697305.5122235,50775,-73.2436294555664
1687697314.3098557,53428,-70.64041900634766
1687697318.4031298,54833,-69.15879821777344
1687697326.730101,57519,-66.31784057617188
1687697336.2525244,60206,-65.8500747680664
1687697342.8701913,62162,-57.32307052612305
1687697353.3382678,65048,-53.40420150756836
1687697356.4566324,66177,-44.598365783691406
1687697366.2051408,68931,-39.498252868652344
1687697375.8355317,71853,-33.8022575378418
1687697387.245679,75224,-23.39251708984375
1687697395.477198,77817,-9.765178680419922
1687697398.5239708,78909,-2.2466652393341064
1687697404.4408164,80704,3.678744077682495
1687697408.297589,82057,13.15659236907959
1687697411.728811,83265,27.496623992919922
1687697416.1895647,84777,41.163719177246094
1687697423.2134655,87026,50.334800720214844
1687697428.236005,88770,62.950191497802734
1687697433.231438,90416,73.28189849853516
1687697437.812403,91898,77.3901596069336
1687697442.2982426,93474,84.16690063476562
1687697445.72175,94681,94.96002960205078
1687697450.9238143,96458,107.14537811279297
1687697453.9959648,97566,114.44209289550781
1687697457.3670282,98771,128.31149291992188
1687697463.7006576,100756,136.91665649414062
1687697470.2687774,102855,139.60711669921875
1687697483.76977,106613,142.680908203125
1687697489.107733,108374,154.50930786132812
1687697494.397568,110127,157.53517150878906
1687697500.8235657,111972,164.193603515625
1687697504.734204,113283,161.34779357910156
1687697510.0966167,114869,162.6902313232422
1687697516.4255216,116793,169.57537841796875
1687697520.1760526,118057,174.478759765625
1687697525.1819038,119687,174.74830627441406
1687697534.4778175,122082,169.9262237548828
1687697541.1723604,124062,170.7032012939453
1687697544.2675595,125139,173.28182983398438
1687697549.000796,126561,171.51300048828125
1687697555.8565001,128385,167.30836486816406
1687697560.1243315,129720,167.01002502441406
1687697566.5056062,131463,158.42160034179688
1687697569.8767889,132584,153.42904663085938
1687697573.0782638,133670,160.7620086669922
1687697575.7957478,134584,158.00381469726562
1687697582.570285,136634,159.38351440429688
1687697585.728968,137647,161.10606384277344
1687697590.1107602,139028,166.82290649414062
1687697597.9141562,141390,170.66917419433594
1687697602.0317895,142681,169.7447967529297
1687697604.1673422,143408,170.72988891601562
1687697606.4406168,144174,170.37351989746094
1687697612.411099,145897,166.23095703125
1687697614.1459804,146525,157.69813537597656
1687697620.250249,148510,156.07199096679688
1687697621.9910593,149148,151.18714904785156
1687697627.6621914,150911,154.2539520263672
1687697634.1380284,152986,154.59088134765625
1687697641.8878765,155295,148.41566467285156
1687697644.609689,156185,147.72128295898438
1687697648.7701864,157475,156.08909606933594
1687697653.0035796,158812,162.072021484375
1687697659.5762415,160606,160.09788513183594
1687697665.6479087,162432,159.9506072998047
1687697674.1387718,164743,164.62533569335938
1687697678.9764607,166185,165.4725799560547
1687697684.15311,167726,175.4589080810547
1687697688.9449081,169173,176.6807861328125
1687697693.7564619,170745,176.61306762695312
1687697697.576971,172010,185.00413513183594
1687697699.652326,172754,180.38758850097656
1687697703.8993874,174052,178.18939208984375
1687697707.2097526,175103,174.2672576904297
1687697709.2935297,175867,169.35952758789062
1687697711.9626687,176705,165.5048828125
1687697714.4633446,177557,169.1571502685547
1687697717.7150242,178612,171.80812072753906
1687697719.4016309,179219,169.78640747070312
1687697721.197406,179779,170.35476684570312
1687697728.4789531,182029,165.96571350097656
1687697731.1010315,182906,172.52346801757812
1687697733.219851,183642,167.8408966064453
1687697739.231009,185368,163.66368103027344
1687697740.6914978,185932,160.69090270996094
1687697745.7987971,187281,157.90969848632812
1687697748.2599714,188046,150.7237091064453
1687697752.8708653,189419,140.4862060546875
1687697756.7383795,190714,141.00149536132812
1687697760.1553571,191729,139.15628051757812
1687697767.2217278,193748,136.3110809326172
1687697773.802509,195731,137.30026245117188
1687697781.622309,198210,134.7118377685547
1687697786.121209,199583,138.39796447753906
1687697794.851555,202237,134.76560974121094
1687697800.1230693,203923,132.52804565429688
1687697806.8446305,205956,136.29547119140625
1687697811.5178082,207329,139.7656707763672
