Wall time,Step,Value
1687699131.8964255,355,-103.18617248535156
1687699132.6230505,771,-99.66797637939453
1687699133.1182575,1054,-106.20940399169922
1687699133.8107862,1449,-105.66259002685547
1687699134.6492326,1921,-128.9951171875
1687699135.4636068,2375,-138.59278869628906
1687699136.2295752,2788,-135.6153106689453
1687699136.8420086,3130,-134.278076171875
1687699137.4023056,3451,-129.52490234375
1687699138.106189,3850,-131.6511993408203
1687699138.6363022,4156,-133.3612060546875
1687699139.181586,4467,-136.04086303710938
1687699139.8147802,4821,-131.76512145996094
1687699140.4993517,5207,-132.18374633789062
1687699141.3140347,5660,-131.900390625
1687699141.9786198,6030,-128.38494873046875
1687699142.6919951,6431,-126.09770202636719
1687699143.3635201,6801,-124.36726379394531
1687699144.025982,7172,-122.67345428466797
1687699144.8507507,7626,-122.01231384277344
1687699145.48767,7979,-119.48613739013672
1687699146.3546944,8429,-117.885009765625
1687699147.042357,8807,-116.00900268554688
1687699147.8342347,9238,-114.98494720458984
1687699148.6388834,9679,-113.44893646240234
1687699149.3437204,10064,-112.9456558227539
1687699150.0591006,10450,-112.27711486816406
1687699150.7787406,10839,-109.82511901855469
1687699151.5578372,11258,-109.29840850830078
1687699152.3284855,11669,-102.93376922607422
1687699153.0062077,12030,-98.62084197998047
1687699153.7511222,12421,-95.44444274902344
1687699154.8535583,12926,-90.55647277832031
1687699156.1596506,13462,-89.74897003173828
1687699157.3965044,13981,-85.69506072998047
1687699158.2939038,14359,-81.52520751953125
1687699159.1885273,14733,-77.46405029296875
1687699160.2411017,15174,-75.991943359375
1687699161.2846875,15599,-71.8909683227539
1687699162.248564,16002,-68.37691497802734
1687699163.345445,16455,-67.29639434814453
1687699164.300873,16852,-66.36817932128906
1687699165.5999174,17388,-63.21707534790039
1687699168.5841143,18346,-63.1139030456543
1687699169.9903777,18901,-59.47103500366211
1687699178.727384,21642,-59.51711654663086
1687699188.909563,24586,-58.39850616455078
1687699198.8941169,27547,-62.08045196533203
1687699212.8249567,31547,-60.32967758178711
1687699226.8418784,35547,-59.68132781982422
1687699241.5505812,39547,-57.36822509765625
1687699257.8069658,43547,-57.00553512573242
1687699271.4603477,47547,-58.168617248535156
1687699287.4949236,51547,-55.77154541015625
1687699298.8813443,54874,-58.04164123535156
1687699311.386946,58258,-56.43507385253906
1687699325.9131436,62258,-55.50481414794922
1687699341.6786914,66258,-57.02357482910156
1687699355.097269,69933,-57.64939498901367
1687699371.24296,73933,-55.55328369140625
1687699385.3538768,77933,-54.63612365722656
1687699398.5535028,81543,-53.37546157836914
1687699410.5605621,84879,-50.364933013916016
1687699418.3873253,87271,-41.478519439697266
1687699429.622264,90288,-36.40880584716797
1687699435.192419,92032,-32.99290466308594
1687699440.802572,93787,-25.613094329833984
1687699442.0013285,94268,-25.81726837158203
1687699449.6194513,96650,-17.329910278320312
1687699455.6245036,98534,-7.694413661956787
1687699459.83559,100037,0.266434907913208
1687699463.2543447,101157,4.280667781829834
1687699468.3067596,102861,11.34843921661377
1687699472.1115994,104204,17.660341262817383
1687699474.4578137,105055,15.195979118347168
1687699477.5470552,106071,12.53148078918457
