episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-73.92982699451697,114,114,2023-05-14 16:47:30.092102,16:47
2,-100,-90.8984993254711,219,105,2023-05-14 16:47:30.286356,16:47
3,-100,-100.67067496410654,304,199,2023-05-14 16:47:30.417881,16:47
4,-100,-152.57573385860167,408,209,2023-05-14 16:47:30.606845,16:47
5,-100,-178.47070053199081,497,288,2023-05-14 16:47:30.719473,16:47
6,-100,-202.72035786365475,600,312,2023-05-14 16:47:30.821306,16:47
7,-100,-198.81993809730022,695,383,2023-05-14 16:47:30.918381,16:47
8,-100,-179.11979710201052,780,397,2023-05-14 16:47:30.999097,16:47
9,-100,-188.88158276058624,883,486,2023-05-14 16:47:31.108575,16:47
10,-100,-180.83441894465358,944,458,2023-05-14 16:47:31.165418,16:47
11,-100,-175.77904722663496,1013,555,2023-05-14 16:47:31.426802,16:47
12,-100,-170.0081131682354,1082,527,2023-05-14 16:47:31.614433,16:47
13,-100,-172.1294929894687,1150,623,2023-05-14 16:47:31.819280,16:47
14,-100,-168.53267425740214,1250,627,2023-05-14 16:47:32.082158,16:47
15,-100,-174.50946626892585,1356,729,2023-05-14 16:47:32.376976,16:47
16,-100,-169.05505366332235,1490,761,2023-05-14 16:47:32.737205,16:47
17,-100,-164.3291175593511,1565,804,2023-05-14 16:47:32.941279,16:47
18,-100,-166.1814036375026,1695,891,2023-05-14 16:47:33.301969,16:47
19,-100,-164.66532443842593,1781,890,2023-05-14 16:47:33.543872,16:47
20,-100,-164.47563451882402,1862,972,2023-05-14 16:47:33.765886,16:47
21,-100,-164.66901842197294,1952,980,2023-05-14 16:47:34.010241,16:47
22,-100,-161.23144907892728,2029,1049,2023-05-14 16:47:34.218472,16:47
23,-100,-163.79876157940086,2097,1048,2023-05-14 16:47:34.406690,16:47
24,-100,-162.90518963998773,2205,1157,2023-05-14 16:47:34.709252,16:47
25,-100,-170.12856060818964,2303,1146,2023-05-14 16:47:34.976994,16:47
26,-100,-164.86210578413386,2378,1232,2023-05-14 16:47:35.181165,16:47
27,-100,-169.05134264803814,2491,1259,2023-05-14 16:47:35.471131,16:47
28,-100,-166.75483179677573,2582,1323,2023-05-14 16:47:35.701529,16:47
29,-100,-166.0088268323155,2654,1331,2023-05-14 16:47:35.883535,16:47
30,-100,-166.16193739365562,2742,1411,2023-05-14 16:47:36.115792,16:47
31,-100,-177.37088033928097,2889,1478,2023-05-14 16:47:36.513530,16:47
32,-100,-176.35102866944246,2985,1507,2023-05-14 16:47:36.764474,16:47
33,-100,-174.99112139625993,3097,1590,2023-05-14 16:47:37.057235,16:47
34,-100,-173.63279507849757,3184,1594,2023-05-14 16:47:37.280719,16:47
35,-100,-171.07483741339774,3261,1667,2023-05-14 16:47:37.475603,16:47
36,-100,-169.087302262955,3373,1706,2023-05-14 16:47:37.768905,16:47
37,-100,-170.65426876039172,3472,1766,2023-05-14 16:47:38.056406,16:47
38,-100,-172.47446069420755,3594,1828,2023-05-14 16:47:38.412640,16:47
39,-100,-171.20709018887675,3673,1845,2023-05-14 16:47:38.677847,16:47
40,-100,-169.41773929637884,3737,1892,2023-05-14 16:47:38.866850,16:47
41,-100,-167.76448902832985,3863,1971,2023-05-14 16:47:39.234030,16:47
42,-100,-165.195901772006,3980,2009,2023-05-14 16:47:39.572685,16:47
43,-100,-169.08615293369638,4111,2102,2023-05-14 16:47:39.945408,16:47
44,-100,-167.04627646328532,4261,2159,2023-05-14 16:47:40.366633,16:47
45,-100,-166.20272452371609,4328,2169,2023-05-14 16:47:40.553642,16:47
46,-100,-164.17256610869705,4447,2278,2023-05-14 16:47:40.883588,16:47
47,-100,-162.5403006334076,4546,2268,2023-05-14 16:47:41.204706,16:47
48,-100,-161.05406148949993,4622,2354,2023-05-14 16:47:41.423050,16:47
49,-100,-159.24835061862993,4752,2398,2023-05-14 16:47:41.814535,16:47
50,-100,-156.99819077017844,4835,2437,2023-05-14 16:47:42.046884,16:47
51,-100,-155.0215727846233,4926,2489,2023-05-14 16:47:42.296373,16:47
52,-100,-154.21825226858442,5035,2546,2023-05-14 16:47:42.628307,16:47
53,-100,-153.21594921107172,5112,2566,2023-05-14 16:47:42.905387,16:47
54,-100,-153.2172929247901,5222,2656,2023-05-14 16:47:43.274931,16:47
55,-100,-152.6141450272077,5375,2719,2023-05-14 16:47:43.777894,16:47
56,-100,-149.2982553006215,5464,2745,2023-05-14 16:47:44.074196,16:47
57,-100,-147.94532902230284,5535,2790,2023-05-14 16:47:44.305347,16:47
58,-100,-146.70150982508818,5601,2811,2023-05-14 16:47:44.511580,16:47
59,-100,-146.2252843629249,5734,2923,2023-05-14 16:47:44.921842,16:47
60,-100,-146.45872011765726,5882,2959,2023-05-14 16:47:45.402282,16:47
61,-100,-145.01655652374058,5963,3004,2023-05-14 16:47:45.666861,16:47
62,-100,-143.85097287570568,6061,3057,2023-05-14 16:47:45.978664,16:47
63,-100,-142.9088393072858,6229,3172,2023-05-14 16:47:46.521513,16:47
64,-100,-143.36773172846387,6352,3180,2023-05-14 16:47:46.934355,16:47
65,-100,-143.13503250304635,6438,3258,2023-05-14 16:47:47.233933,16:47
66,-100,-141.88787816190117,6538,3280,2023-05-14 16:47:47.575197,16:47
67,-100,-140.79770739475464,6618,3338,2023-05-14 16:47:47.903349,16:47
68,-100,-139.96792906446328,6690,3352,2023-05-14 16:47:48.179811,16:47
69,-100,-139.5387019317151,6780,3428,2023-05-14 16:47:48.525070,16:47
70,-100,-138.46678015768254,6918,3490,2023-05-14 16:47:49.039914,16:47
71,-100,-138.25522771706125,7012,3522,2023-05-14 16:47:49.376669,16:47
72,-100,-137.05076498491022,7084,3562,2023-05-14 16:47:49.633635,16:47
73,-100,-136.39507746597832,7244,3682,2023-05-14 16:47:50.174512,16:47
74,-100,-135.47046489454794,7416,3734,2023-05-14 16:47:50.750276,16:47
75,-100,-134.19519528845686,7536,3802,2023-05-14 16:47:51.128930,16:47
76,-100,-133.3728246414319,7621,3819,2023-05-14 16:47:51.391787,16:47
77,-100,-132.37576916632167,7735,3916,2023-05-14 16:47:51.754937,16:47
78,-100,-131.46104255730444,7932,4016,2023-05-14 16:47:52.390838,16:47
79,-100,-130.63031528513335,8036,4020,2023-05-14 16:47:52.721200,16:47
80,-100,-130.02692939220927,8120,4100,2023-05-14 16:47:52.985320,16:47
81,-100,-128.63611757373414,8191,4091,2023-05-14 16:47:53.207747,16:47
82,-100,-127.79481466426441,8306,4215,2023-05-14 16:47:53.569618,16:47
83,-100,-126.52690194327525,8447,4232,2023-05-14 16:47:54.034017,16:47
84,-100,-125.33582745460716,8692,4460,2023-05-14 16:47:54.836088,16:47
85,-100,-124.38540867282526,8778,4318,2023-05-14 16:47:55.103392,16:47
86,-100,-123.6121099373178,8877,4559,2023-05-14 16:47:55.417483,16:47
87,-100,-122.65208980171339,8998,4439,2023-05-14 16:47:55.801261,16:47
88,-100,-122.03129633573438,9093,4654,2023-05-14 16:47:56.109083,16:47
89,-100,-122.02209949753994,9191,4537,2023-05-14 16:47:56.422225,16:47
90,-100,-120.7735510279538,9348,4811,2023-05-14 16:47:56.913478,16:47
91,-100,-119.71840270511419,9503,4692,2023-05-14 16:47:57.395287,16:47
92,-100,-120.16370424757665,9758,5066,2023-05-14 16:47:58.229209,16:47
93,-100,-120.86516318702371,9924,4858,2023-05-14 16:47:58.753707,16:47
94,-100,-119.86608346488758,10094,5236,2023-05-14 16:47:59.313660,16:47
95,-100,-118.99302867614786,10236,5000,2023-05-14 16:47:59.766063,16:47
96,-100,-117.46235888926638,10531,5531,2023-05-14 16:48:00.769389,16:48
97,-100,-117.13953942961251,10613,5082,2023-05-14 16:48:01.027191,16:48
98,-100,-115.88493145358457,10703,5621,2023-05-14 16:48:01.322763,16:48
99,-100,-115.26470922420211,10870,5249,2023-05-14 16:48:01.866368,16:48
100,-100,-114.65998613872385,10992,5743,2023-05-14 16:48:02.295521,16:48
101,-100,-113.41584622640767,11119,5376,2023-05-14 16:48:02.703221,16:48
102,-100,-112.34016770871031,11215,5839,2023-05-14 16:48:03.013995,16:48
103,-100,-109.06620154594728,11341,5502,2023-05-14 16:48:03.418434,16:48
104,-100,-106.18070031572947,11423,5921,2023-05-14 16:48:03.676342,16:48
105,-100,-103.28362635457765,11537,5616,2023-05-14 16:48:04.041545,16:48
106,-100,-102.26890250748154,11661,6045,2023-05-14 16:48:04.442707,16:48
107,-100,-102.59080948478179,11819,5774,2023-05-14 16:48:04.941303,16:48
108,-100,-100.59623358381528,11952,6178,2023-05-14 16:48:05.373735,16:48
109,-100,-99.98635991135703,12135,5957,2023-05-14 16:48:05.954409,16:48
110,-100,-98.84163181901698,12344,6387,2023-05-14 16:48:06.624382,16:48
111,-100,-98.19777749416603,12491,6104,2023-05-14 16:48:07.084909,16:48
112,-100,-96.23698413316231,12592,6488,2023-05-14 16:48:07.410383,16:48
113,-100,-96.30435515511324,13257,6769,2023-05-14 16:48:09.922843,16:48
114,-100,-93.99519784094126,13521,6752,2023-05-14 16:48:10.799214,16:48
115,-100,-93.27552535869671,13610,6858,2023-05-14 16:48:11.082480,16:48
116,-100,-92.90441611941432,13766,6908,2023-05-14 16:48:11.560425,16:48
117,-100,-91.29520878402685,13907,6999,2023-05-14 16:48:12.019627,16:48
118,0.3168371674002799,-91.46873219119044,14907,7908,2023-05-14 16:48:16.492951,16:48
119,-100,-93.80431136203782,15749,7841,2023-05-14 16:48:19.844579,16:48
120,-1.508088998534251,-92.22530530494566,16749,8908,2023-05-14 16:48:23.864261,16:48
121,-100,-91.83034802049124,16910,8002,2023-05-14 16:48:24.370302,16:48
122,-2.094451257145354,-89.99767447152458,17910,9908,2023-05-14 16:48:29.039615,16:48
123,-100,-88.90085893309168,18020,8112,2023-05-14 16:48:29.371339,16:48
124,0.5701110561649976,-85.3990871099278,19020,10908,2023-05-14 16:48:33.694368,16:48
125,-100,-86.23344257785956,19163,8255,2023-05-14 16:48:34.142306,16:48
126,-3.4180328970468343,-83.91091648549218,20163,11908,2023-05-14 16:48:38.570687,16:48
127,1.1233569288278786,-83.52574408602236,21163,9255,2023-05-14 16:48:43.277810,16:48
128,-1.1906987503694673,-82.25013719951396,22163,12908,2023-05-14 16:48:47.419178,16:48
129,2.2383362156726108,-80.67110399428674,23163,10255,2023-05-14 16:48:51.243901,16:48
130,-100,-75.39254991749844,23321,13066,2023-05-14 16:48:51.731094,16:48
131,0.7976080400700247,-74.4795107003851,24321,11255,2023-05-14 16:48:56.076391,16:48
132,-1.6241622690423185,-73.4986742763275,25321,14066,2023-05-14 16:48:59.859833,16:48
133,-0.5822050259469325,-73.07417334200902,26321,12255,2023-05-14 16:49:03.853319,16:49
134,1.3133715823406333,-72.78463364702046,27321,15066,2023-05-14 16:49:08.354590,16:49
135,-0.010608566149896886,-72.63979403351586,28321,13255,2023-05-14 16:49:12.719218,16:49
136,2.5474897428634917,-71.07700837450977,29321,16066,2023-05-14 16:49:16.203210,16:49
137,-100,-69.21749637347303,29438,13372,2023-05-14 16:49:16.561512,16:49
138,-2.056098744490582,-68.31010393315186,30438,17066,2023-05-14 16:49:20.403354,16:49
139,-2.2578682291640844,-67.80283509463351,31438,14372,2023-05-14 16:49:24.318086,16:49
140,-100,-68.07076233516548,31836,17464,2023-05-14 16:49:25.757965,16:49
141,1.9833459449090298,-68.2956489853185,32836,15372,2023-05-14 16:49:29.915621,16:49
142,2.324030943004243,-65.0217478049938,33836,18464,2023-05-14 16:49:33.808446,16:49
143,2.1248347246107087,-64.31888189871192,34836,16372,2023-05-14 16:49:37.841210,16:49
144,1.3967477951186293,-63.29794891292096,35836,19464,2023-05-14 16:49:42.308016,16:49
145,-100,-63.3441521743257,36303,16839,2023-05-14 16:49:43.996711,16:49
146,-1.619202879785064,-63.235541739757245,37303,20464,2023-05-14 16:49:48.256723,16:49
147,-0.40205929158549547,-61.33362154171718,38303,17839,2023-05-14 16:49:52.660113,16:49
148,-1.479997087758792,-59.60390746775049,39303,21464,2023-05-14 16:49:56.798579,16:49
149,-0.6249168055330976,-57.694001144219435,40303,18839,2023-05-14 16:50:01.055508,16:50
150,2.345985600124068,-57.16831688260711,41303,22464,2023-05-14 16:50:05.246054,16:50
151,-100,-55.8416321918117,41483,19019,2023-05-14 16:50:05.816900,16:50
152,100,-52.7258334785133,42112,23093,2023-05-14 16:50:08.366952,16:50
153,100,-49.70982314870804,42846,19753,2023-05-14 16:50:11.379324,16:50
154,100,-46.77436080210928,43368,23615,2023-05-14 16:50:13.623026,16:50
155,100,-45.18285098784907,43670,20055,2023-05-14 16:50:14.952081,16:50
156,0.33584452981793267,-42.97228418616106,44670,24615,2023-05-14 16:50:19.745454,16:50
157,100,-40.917090837764825,45002,20387,2023-05-14 16:50:21.074098,16:50
158,100,-37.45774632610368,45848,25461,2023-05-14 16:50:24.694080,16:50
159,-0.26242223280827903,-34.68492215551817,46848,21387,2023-05-14 16:50:28.840428,16:50
160,9.723409100291784,-32.9961811765583,47848,26461,2023-05-14 16:50:32.506723,16:50
161,100,-29.88987045892558,48497,22036,2023-05-14 16:50:34.893036,16:50
162,100,-26.831020881183445,49196,27160,2023-05-14 16:50:37.523595,16:50
163,-100,-24.967538045570677,49337,22177,2023-05-14 16:50:37.980990,16:50
164,100,-21.232914877537418,49528,27351,2023-05-14 16:50:38.602165,16:50
165,100,-18.98601460846213,50360,23009,2023-05-14 16:50:42.316372,16:50
166,100,-15.946180359924147,50761,27752,2023-05-14 16:50:43.704634,16:50
167,-100,-15.027797691469619,50887,23135,2023-05-14 16:50:44.127141,16:50
168,-100,-13.417297005754747,51056,27921,2023-05-14 16:50:44.676400,16:50
169,100,-10.791903505609543,51441,23520,2023-05-14 16:50:46.058219,16:50
170,100,-7.116489891807375,52008,28488,2023-05-14 16:50:48.151193,16:50
171,-100,-6.4792506805146015,52204,23716,2023-05-14 16:50:48.787502,16:50
172,-100,-5.468699139016649,52603,28887,2023-05-14 16:50:50.216743,16:50
173,100,-2.2704329168239616,52931,24044,2023-05-14 16:50:51.315331,16:50
174,100,0.841452728545147,53530,29486,2023-05-14 16:50:53.496696,16:50
175,100,3.8694874961123764,53848,24362,2023-05-14 16:50:54.571369,16:50
176,100,6.448055537872759,54362,30000,2023-05-14 16:50:56.431921,16:50
177,100,9.475360513936339,54828,24828,2023-05-14 16:50:58.150394,16:50
178,-100,10.525481115365931,55014,30186,2023-05-14 16:50:58.759777,16:50
179,100,13.534700477797447,55477,25291,2023-05-14 16:51:00.410839,16:51
180,100,15.937279951275686,56188,30897,2023-05-14 16:51:02.954362,16:51
181,1.7118290738489528,18.312043651319694,57188,26291,2023-05-14 16:51:06.509575,16:51
182,1.337355058438708,19.71607277903671,58188,31897,2023-05-14 16:51:10.338610,16:51
183,0.3955648200501372,19.821157737451006,59188,27291,2023-05-14 16:51:14.946317,16:51
184,-0.5847704214336698,21.006184051275426,60188,32897,2023-05-14 16:51:19.151112,16:51
185,100,23.53704360506665,60925,28028,2023-05-14 16:51:22.023131,16:51
186,-2.3108188127620934,23.70717583419277,61925,33897,2023-05-14 16:51:26.431894,16:51
187,-0.2698442220466386,24.952790824746877,62925,29028,2023-05-14 16:51:31.101549,16:51
188,100,28.668309462474113,63209,34181,2023-05-14 16:51:32.071421,16:51
189,-2.689813853027725,28.764005806845006,64209,30028,2023-05-14 16:51:36.378734,16:51
190,100,30.72886502831739,64991,34963,2023-05-14 16:51:39.511518,16:51
191,100,33.92124055961827,65466,30503,2023-05-14 16:51:41.344028,16:51
192,1.6269710081167446,35.42121905085254,66466,35963,2023-05-14 16:51:45.086619,16:51
193,100,36.921943804167775,67364,31401,2023-05-14 16:51:48.405050,16:51
194,0.0834322369050689,36.98308652052478,68364,36963,2023-05-14 16:51:52.641337,16:51
195,100,38.79157932064461,69001,32038,2023-05-14 16:51:55.005568,16:51
196,-100,37.100857333572506,69434,37396,2023-05-14 16:51:56.463407,16:51
197,-0.296995426124581,36.961841664289324,70434,33038,2023-05-14 16:52:00.277239,16:52
198,100,40.10406852407391,70607,37569,2023-05-14 16:52:00.800915,16:52
199,100,42.333156911402966,71588,34019,2023-05-14 16:52:05.528595,16:52
200,-0.572532354931204,42.524453817970226,72588,38569,2023-05-14 16:52:10.893231,16:52
201,100,45.11018537648085,73191,34622,2023-05-14 16:52:13.096332,16:52
202,-0.2830887041548422,45.55877379888965,74191,39569,2023-05-14 16:52:17.370700,16:52
203,-0.1501874796109017,46.77456512238071,75191,35622,2023-05-14 16:52:21.599187,16:52
204,100,49.83752398949674,75898,40276,2023-05-14 16:52:24.120381,16:52
205,-100,51.102752443312156,76154,35878,2023-05-14 16:52:24.946986,16:52
206,100,53.37175252639371,76779,40901,2023-05-14 16:52:27.263481,16:52
207,-100,53.41678224015456,77021,36120,2023-05-14 16:52:28.033525,16:52
208,-100,52.70546350132836,77264,41144,2023-05-14 16:52:28.840814,16:52
209,-100,52.52097230030564,77849,36705,2023-05-14 16:52:30.907723,16:52
210,-100,53.115061966958784,77969,41264,2023-05-14 16:52:31.284982,16:52
211,-100,53.0973174449864,78119,36855,2023-05-14 16:52:31.777195,16:52
212,-100,54.26719834359118,78253,41398,2023-05-14 16:52:32.189554,16:52
213,100,57.125470279596556,78895,37497,2023-05-14 16:52:34.378562,16:52
214,100,59.75389207828353,79058,41561,2023-05-14 16:52:34.884026,16:52
215,-100,60.472794854614094,79206,37645,2023-05-14 16:52:35.347479,16:52
216,100,63.129928435118565,79709,42064,2023-05-14 16:52:37.122940,16:52
217,-100,61.820120251739816,79971,37907,2023-05-14 16:52:37.966985,16:52
