episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-123.52204634935396,69,69,2023-05-14 17:12:14.280998,17:12
2,-100,-219.39584940083236,209,140,2023-05-14 17:12:14.431798,17:12
3,-100,-193.7952898097811,319,179,2023-05-14 17:12:14.548784,17:12
4,-100,-197.18537944605728,422,243,2023-05-14 17:12:14.654539,17:12
5,-100,-179.40487833727965,492,249,2023-05-14 17:12:14.727828,17:12
6,-100,-169.40950355796957,551,302,2023-05-14 17:12:14.791160,17:12
7,-100,-174.61307737806612,615,313,2023-05-14 17:12:14.853293,17:12
8,-100,-155.29084508672065,714,401,2023-05-14 17:12:14.968915,17:12
9,-100,-140.79669084538037,788,387,2023-05-14 17:12:15.061402,17:12
10,-100,-142.4846915859255,877,490,2023-05-14 17:12:15.164712,17:12
11,-100,-138.53999352466573,944,454,2023-05-14 17:12:15.241022,17:12
12,-100,-138.66244307598097,1028,574,2023-05-14 17:12:15.566013,17:12
13,-100,-139.8060383092731,1129,555,2023-05-14 17:12:15.862979,17:12
14,-100,-141.9966997779651,1229,674,2023-05-14 17:12:16.161663,17:12
15,-100,-148.03510703075818,1326,652,2023-05-14 17:12:16.465071,17:12
16,-100,-149.03733344922145,1431,779,2023-05-14 17:12:16.765945,17:12
17,-100,-146.90075133645325,1508,729,2023-05-14 17:12:17.004977,17:12
18,-100,-143.15487438024894,1573,844,2023-05-14 17:12:17.194134,17:12
19,-100,-142.04474480924267,1667,823,2023-05-14 17:12:17.452278,17:12
20,-100,-142.7531857649115,1816,993,2023-05-14 17:12:17.863736,17:12
21,-100,-148.55706260920263,1926,933,2023-05-14 17:12:18.164609,17:12
22,-100,-148.00947827323466,2013,1080,2023-05-14 17:12:18.397673,17:12
23,-100,-150.90014558758403,2126,1046,2023-05-14 17:12:18.706731,17:12
24,-100,-161.23504500510464,2243,1197,2023-05-14 17:12:18.990426,17:12
25,-100,-156.557672532976,2330,1133,2023-05-14 17:12:19.221889,17:12
26,-100,-153.02976476228494,2392,1259,2023-05-14 17:12:19.372223,17:12
27,-100,-151.18372788185368,2483,1224,2023-05-14 17:12:19.606581,17:12
28,-100,-148.3348785530543,2545,1321,2023-05-14 17:12:19.776336,17:12
29,-100,-150.15650031032567,2621,1300,2023-05-14 17:12:19.978087,17:12
30,-100,-148.9135409542918,2715,1415,2023-05-14 17:12:20.230962,17:12
31,-100,-148.85145189066995,2841,1426,2023-05-14 17:12:20.570561,17:12
32,-100,-145.82995870945936,2925,1499,2023-05-14 17:12:20.779452,17:12
33,-100,-149.6018201463024,3061,1562,2023-05-14 17:12:21.127945,17:12
34,-100,-149.27237736112426,3172,1610,2023-05-14 17:12:21.408887,17:12
35,-100,-149.4468824394177,3256,1646,2023-05-14 17:12:21.622323,17:12
36,-100,-148.601600009521,3372,1726,2023-05-14 17:12:21.916905,17:12
37,-100,-146.26466925525838,3439,1713,2023-05-14 17:12:22.080956,17:12
38,-100,-148.94898422785985,3546,1833,2023-05-14 17:12:22.425073,17:12
39,-100,-151.45158453914286,3691,1858,2023-05-14 17:12:22.801690,17:12
40,-100,-151.9273927568295,3790,1932,2023-05-14 17:12:23.056780,17:12
41,-100,-149.99401005621462,3879,1947,2023-05-14 17:12:23.274807,17:12
42,-100,-150.19911920435845,3976,2029,2023-05-14 17:12:23.524437,17:12
43,-100,-148.76164748660747,4103,2074,2023-05-14 17:12:23.831538,17:12
44,-100,-155.4598126263737,4210,2136,2023-05-14 17:12:24.104490,17:12
