episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-101.0,121,121,2023-05-14 17:16:02.510083,17:16
2,-100,-103.33333333333333,204,83,2023-05-14 17:16:05.029010,17:16
3,-100,-114.5,276,193,2023-05-14 17:16:07.371451,17:16
4,-100,-142.0,390,197,2023-05-14 17:16:10.856055,17:16
5,-100,-159.5,492,295,2023-05-14 17:16:13.973169,17:16
6,-100,-187.85714285714286,592,297,2023-05-14 17:16:16.906462,17:16
7,-100,-174.25,663,366,2023-05-14 17:16:18.956818,17:16
8,-100,-176.33333333333334,735,369,2023-05-14 17:16:21.034781,17:16
9,-100,-167.7,827,458,2023-05-14 17:16:23.710688,17:16
10,-100,-166.0,891,433,2023-05-14 17:16:25.619489,17:16
11,-100,-156.41666666666666,1000,567,2023-05-14 17:16:28.758706,17:16
12,-100,-151.15384615384616,1084,517,2023-05-14 17:16:31.908035,17:16
13,-100,-151.78571428571428,1189,672,2023-05-14 17:16:35.408364,17:16
14,-100,-148.0,1293,621,2023-05-14 17:16:38.857232,17:16
15,-100,-148.0625,1390,769,2023-05-14 17:16:42.252652,17:16
16,-100,-151.64705882352942,1498,729,2023-05-14 17:16:45.848010,17:16
17,-100,-147.11111111111111,1612,883,2023-05-14 17:16:49.636094,17:16
18,-100,-154.31578947368422,1714,831,2023-05-14 17:16:53.117038,17:16
19,-100,-144.75,1883,1052,2023-05-14 17:16:59.044843,17:16
20,-100,-142.85714285714286,1958,906,2023-05-14 17:17:01.610233,17:17
21,-100,-142.9090909090909,2041,1135,2023-05-14 17:17:04.377412,17:17
22,-100,-139.30434782608697,2150,1015,2023-05-14 17:17:08.147175,17:17
23,-100,-139.04166666666666,2208,1193,2023-05-14 17:17:10.148090,17:17
24,-100,-139.64,2338,1145,2023-05-14 17:17:14.629757,17:17
25,-100,-138.84615384615384,2407,1262,2023-05-14 17:17:16.941335,17:17
26,-100,-140.2962962962963,2555,1293,2023-05-14 17:17:21.946590,17:17
27,-100,-137.92857142857142,2694,1401,2023-05-14 17:17:26.716567,17:17
28,-100,-138.68965517241378,2774,1373,2023-05-14 17:17:29.426728,17:17
29,-100,-139.1,2854,1481,2023-05-14 17:17:32.084988,17:17
30,-100,-137.58064516129033,2963,1482,2023-05-14 17:17:35.865274,17:17
31,-100,-136.40625,3078,1596,2023-05-14 17:17:39.728744,17:17
32,-100,-135.57575757575756,3183,1587,2023-05-14 17:17:43.468431,17:17
33,-100,-143.44117647058823,3264,1677,2023-05-14 17:17:46.261668,17:17
34,-100,-143.02857142857144,3363,1686,2023-05-14 17:17:49.591391,17:17
35,-100,-140.83333333333334,3438,1752,2023-05-14 17:17:52.067312,17:17
36,-100,-138.8108108108108,3529,1777,2023-05-14 17:17:55.171157,17:17
37,-100,-136.60526315789474,3604,1827,2023-05-14 17:17:57.816302,17:17
38,-100,-137.82051282051282,3673,1846,2023-05-14 17:18:00.349959,17:18
39,-100,-134.4,3799,1953,2023-05-14 17:18:04.785340,17:18
40,-100,-135.70731707317074,3902,1949,2023-05-14 17:18:08.278679,17:18
41,-100,-134.83333333333334,4004,2055,2023-05-14 17:18:11.859884,17:18
42,-100,-134.46511627906978,4145,2090,2023-05-14 17:18:16.528200,17:18
43,-100,-133.3409090909091,4237,2147,2023-05-14 17:18:19.662508,17:18
44,-100,-131.6888888888889,4322,2175,2023-05-14 17:18:22.495184,17:18
45,-100,-131.3913043478261,4427,2252,2023-05-14 17:18:25.937857,17:18
46,-100,-131.04255319148936,4502,2250,2023-05-14 17:18:28.650773,17:18
47,-100,-131.16666666666666,4585,2335,2023-05-14 17:18:31.576262,17:18
48,-100,-130.16326530612244,4680,2345,2023-05-14 17:18:34.739251,17:18
49,-100,-129.88,4778,2433,2023-05-14 17:18:38.114907,17:18
50,-100,-129.1764705882353,4854,2421,2023-05-14 17:18:40.781830,17:18
51,-100,-130.23076923076923,4954,2533,2023-05-14 17:18:44.148814,17:18
52,-100,-128.0566037735849,5119,2586,2023-05-14 17:18:49.839722,17:18
53,-100,-127.55555555555556,5198,2612,2023-05-14 17:18:52.491040,17:18
54,-100,-127.2,5272,2660,2023-05-14 17:18:55.076612,17:18
55,-100,-126.66071428571429,5347,2687,2023-05-14 17:18:57.701273,17:18
56,-100,-126.49122807017544,5442,2755,2023-05-14 17:19:00.914356,17:19
57,-100,-125.3103448275862,5536,2781,2023-05-14 17:19:04.113471,17:19
58,-100,-124.38983050847457,5617,2836,2023-05-14 17:19:06.898727,17:19
59,-100,-124.46666666666667,5719,2883,2023-05-14 17:19:10.274729,17:19
60,-100,-125.72131147540983,5828,2945,2023-05-14 17:19:13.949178,17:19
61,-100,-124.8225806451613,5981,3036,2023-05-14 17:19:19.064921,17:19
62,-100,-124.38095238095238,6123,3087,2023-05-14 17:19:23.993844,17:19
63,-100,-124.0,6268,3181,2023-05-14 17:19:29.161554,17:19
64,-100,-123.23076923076923,6388,3207,2023-05-14 17:19:33.277038,17:19
65,-100,-122.68181818181819,6521,3314,2023-05-14 17:19:37.858775,17:19
66,-100,-121.55223880597015,6612,3298,2023-05-14 17:19:41.045384,17:19
67,-100,-120.94117647058823,6696,3398,2023-05-14 17:19:44.028599,17:19
68,-100,-120.76811594202898,6826,3428,2023-05-14 17:19:48.469627,17:19
69,-100,-119.75714285714285,6923,3495,2023-05-14 17:19:51.785122,17:19
70,-100,-118.95774647887323,7008,3513,2023-05-14 17:19:54.708103,17:19
71,-100,-118.125,7165,3652,2023-05-14 17:20:00.222567,17:20
72,-100,-117.43835616438356,7273,3621,2023-05-14 17:20:04.053680,17:20
73,-100,-116.93243243243244,7355,3734,2023-05-14 17:20:06.910377,17:20
74,-100,-116.49333333333334,7538,3804,2023-05-14 17:20:13.370341,17:20
75,-100,-116.10526315789474,7658,3854,2023-05-14 17:20:17.452232,17:20
76,-100,-115.24675324675324,7745,3891,2023-05-14 17:20:20.360873,17:20
77,-100,-115.03846153846153,7808,3917,2023-05-14 17:20:22.558798,17:20
78,-100,-114.53164556962025,7937,4020,2023-05-14 17:20:27.050968,17:20
79,-100,-114.2625,8039,4019,2023-05-14 17:20:30.577021,17:20
80,-100,-113.53086419753086,8157,4138,2023-05-14 17:20:34.554901,17:20
81,-100,-112.34146341463415,8254,4116,2023-05-14 17:20:37.811807,17:20
82,-100,-112.2289156626506,8392,4276,2023-05-14 17:20:42.531904,17:20
83,-100,-111.94047619047619,8518,4242,2023-05-14 17:20:46.903486,17:20
84,-100,-112.97647058823529,8628,4386,2023-05-14 17:20:50.733269,17:20
85,-100,-112.31395348837209,8718,4332,2023-05-14 17:20:53.820634,17:20
86,-100,-111.816091954023,8835,4503,2023-05-14 17:20:57.918988,17:20
87,-100,-111.05681818181819,8945,4442,2023-05-14 17:21:01.766983,17:21
88,-100,-110.70786516853933,9074,4632,2023-05-14 17:21:06.223793,17:21
89,-100,-109.28888888888889,9251,4619,2023-05-14 17:21:12.320899,17:21
90,-100,-108.98901098901099,9355,4736,2023-05-14 17:21:15.972151,17:21
91,-100,-109.31521739130434,9447,4711,2023-05-14 17:21:19.174638,17:21
92,-100,-109.08602150537635,9540,4829,2023-05-14 17:21:22.542693,17:21
93,-100,-108.34042553191489,9620,4791,2023-05-14 17:21:25.376224,17:21
94,-100,-108.13684210526316,9703,4912,2023-05-14 17:21:28.254426,17:21
95,-100,-107.09375,9888,4976,2023-05-14 17:21:34.832991,17:21
96,-100,-105.72164948453609,10101,5125,2023-05-14 17:21:42.241655,17:21
97,-100,-104.8061224489796,10250,5125,2023-05-14 17:21:47.552297,17:21
98,-100,-103.53535353535354,10331,5206,2023-05-14 17:21:50.257826,17:21
99,-100,-102.7,10458,5252,2023-05-14 17:21:54.455835,17:21
100,-100,-100.24,10560,5308,2023-05-14 17:21:57.805082,17:21
101,-100,-99.5,10712,5404,2023-05-14 17:22:02.943605,17:22
102,-100,-98.09,10877,5473,2023-05-14 17:22:08.597375,17:22
103,-100,-95.95,11055,5582,2023-05-14 17:22:14.725400,17:22
