episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-100.5,107,107,2023-05-16 07:52:42.839915,7:52
2,-100,-139.66666666666666,209,102,2023-05-16 07:52:48.686017,7:52
3,-100,-127.0,284,182,2023-05-16 07:52:52.905553,7:52
4,-100,-118.8,412,230,2023-05-16 07:53:00.184925,7:53
5,-100,-128.83333333333334,490,260,2023-05-16 07:53:04.521117,7:53
6,-100,-126.28571428571429,566,306,2023-05-16 07:53:08.865451,7:53
7,-100,-119.625,675,369,2023-05-16 07:53:14.887123,7:53
8,-100,-114.44444444444444,735,366,2023-05-16 07:53:18.202162,7:53
9,-100,-144.4,850,484,2023-05-16 07:53:24.567863,7:53
10,-100,-142.1818181818182,922,438,2023-05-16 07:53:28.597668,7:53
11,-100,-138.83333333333334,992,554,2023-05-16 07:53:32.442780,7:53
12,-100,-135.07692307692307,1054,500,2023-05-16 07:53:36.491661,7:53
13,-100,-131.92857142857142,1116,616,2023-05-16 07:53:40.275984,7:53
14,-100,-130.4,1219,603,2023-05-16 07:53:47.128041,7:53
15,-100,-134.1875,1291,688,2023-05-16 07:53:52.056249,7:53
16,-100,-134.11764705882354,1376,688,2023-05-16 07:53:57.907837,7:53
17,-100,-133.11111111111111,1453,765,2023-05-16 07:54:03.047907,7:54
18,-100,-131.42105263157896,1518,753,2023-05-16 07:54:07.479159,7:54
19,-100,-127.9,1587,834,2023-05-16 07:54:12.373022,7:54
20,-100,-130.52380952380952,1676,842,2023-05-16 07:54:18.412285,7:54
21,-100,-129.5909090909091,1737,895,2023-05-16 07:54:22.481855,7:54
22,-100,-128.7391304347826,1810,915,2023-05-16 07:54:27.535780,7:54
23,-100,-132.54166666666666,1929,1014,2023-05-16 07:54:35.743027,7:54
24,-100,-133.4,2033,1019,2023-05-16 07:54:42.770780,7:54
25,-100,-138.57692307692307,2133,1114,2023-05-16 07:54:49.599985,7:54
26,-100,-144.03703703703704,2239,1125,2023-05-16 07:54:56.795136,7:54
27,-100,-143.07142857142858,2328,1203,2023-05-16 07:55:02.786997,7:55
28,-100,-140.17241379310346,2405,1202,2023-05-16 07:55:08.062477,7:55
29,-100,-139.16666666666666,2504,1302,2023-05-16 07:55:14.837991,7:55
30,-100,-138.67741935483872,2614,1312,2023-05-16 07:55:22.377936,7:55
31,-100,-146.0625,2700,1388,2023-05-16 07:55:28.208831,7:55
32,-100,-144.4848484848485,2791,1403,2023-05-16 07:55:34.352006,7:55
33,-100,-139.64705882352942,2915,1512,2023-05-16 07:55:42.872418,7:55
34,-100,-139.02857142857144,3027,1515,2023-05-16 07:55:50.592110,7:55
35,-100,-135.44444444444446,3098,1583,2023-05-16 07:55:55.286401,7:55
36,-100,-135.8108108108108,3177,1594,2023-05-16 07:56:00.740811,7:56
37,-100,-134.07894736842104,3253,1659,2023-05-16 07:56:05.945440,7:56
38,-100,-134.5897435897436,3354,1695,2023-05-16 07:56:12.910040,7:56
39,-100,-133.25,3482,1787,2023-05-16 07:56:21.774978,7:56
40,-100,-133.02439024390245,3579,1792,2023-05-16 07:56:28.529584,7:56
41,-100,-134.26190476190476,3643,1851,2023-05-16 07:56:32.872969,7:56
42,-100,-132.04651162790697,3718,1867,2023-05-16 07:56:38.101989,7:56
43,-100,-131.95454545454547,3816,1949,2023-05-16 07:56:44.754149,7:56
44,-100,-131.33333333333334,3955,2006,2023-05-16 07:56:54.210070,7:56
45,-100,-129.91304347826087,4026,2020,2023-05-16 07:56:59.120130,7:56
46,-100,-128.7659574468085,4141,2121,2023-05-16 07:57:06.900793,7:57
47,-100,-127.125,4298,2177,2023-05-16 07:57:17.624461,7:57
48,-100,-126.10204081632654,4369,2192,2023-05-16 07:57:22.526096,7:57
49,-100,-125.5,4484,2292,2023-05-16 07:57:30.435842,7:57
