episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-65.0,117,117,2023-05-14 14:31:25.369873,14:31
2,-100,-72.66666666666667,189,72,2023-05-14 14:31:25.584541,14:31
3,-100,-146.5,296,224,2023-05-14 14:31:25.894888,14:31
4,-100,-150.6,399,175,2023-05-14 14:31:26.199078,14:31
5,-100,-139.0,461,286,2023-05-14 14:31:26.381700,14:31
6,-100,-165.14285714285714,592,306,2023-05-14 14:31:26.774547,14:31
7,-100,-169.75,662,356,2023-05-14 14:31:26.982438,14:31
8,-100,-165.44444444444446,751,395,2023-05-14 14:31:27.234623,14:31
9,-100,-164.0,854,459,2023-05-14 14:31:27.533151,14:31
10,-100,-163.27272727272728,919,460,2023-05-14 14:31:27.722583,14:31
11,-100,-154.83333333333334,978,518,2023-05-14 14:31:27.888895,14:31
12,-100,-151.15384615384616,1076,558,2023-05-14 14:31:29.033019,14:31
13,-100,-154.07142857142858,1150,592,2023-05-14 14:31:29.520728,14:31
14,-100,-150.6,1231,639,2023-05-14 14:31:30.071548,14:31
15,-100,-149.0625,1332,693,2023-05-14 14:31:30.756237,14:31
16,-100,-146.23529411764707,1462,769,2023-05-14 14:31:31.630713,14:31
17,-100,-142.5,1536,767,2023-05-14 14:31:32.127230,14:31
18,-100,-139.26315789473685,1659,892,2023-05-14 14:31:32.961435,14:31
19,-100,-136.35,1747,855,2023-05-14 14:31:33.551007,14:31
20,-100,-132.42857142857142,1824,969,2023-05-14 14:31:34.084740,14:31
21,-100,-130.9090909090909,1895,926,2023-05-14 14:31:34.571412,14:31
22,-100,-133.43478260869566,2008,1082,2023-05-14 14:31:35.341193,14:31
23,-100,-132.75,2120,1038,2023-05-14 14:31:36.114420,14:31
24,-100,-134.24,2238,1200,2023-05-14 14:31:36.918943,14:31
25,-100,-130.30769230769232,2306,1106,2023-05-14 14:31:37.380327,14:31
26,-100,-127.66666666666667,2369,1263,2023-05-14 14:31:37.805863,14:31
27,-100,-127.89285714285714,2496,1233,2023-05-14 14:31:38.662553,14:31
28,-100,-126.37931034482759,2568,1335,2023-05-14 14:31:39.157102,14:31
29,-100,-124.96666666666667,2663,1328,2023-05-14 14:31:39.805791,14:31
30,-100,-127.90322580645162,2792,1464,2023-05-14 14:31:40.680070,14:31
31,-100,-127.46875,2870,1406,2023-05-14 14:31:41.200902,14:31
32,-100,-126.12121212121212,2960,1554,2023-05-14 14:31:41.805286,14:31
33,-100,-125.02941176470588,3033,1479,2023-05-14 14:31:42.298555,14:31
34,-100,-126.11428571428571,3140,1661,2023-05-14 14:31:43.032898,14:31
35,-100,-125.80555555555556,3217,1556,2023-05-14 14:31:43.566366,14:31
36,-100,-124.72972972972973,3308,1752,2023-05-14 14:31:44.180191,14:31
37,-100,-124.0,3403,1651,2023-05-14 14:31:44.829807,14:31
38,-100,-126.97435897435898,3521,1870,2023-05-14 14:31:45.634508,14:31
39,-100,-125.825,3632,1762,2023-05-14 14:31:46.376822,14:31
40,-100,-127.73170731707317,3732,1970,2023-05-14 14:31:47.108668,14:31
41,-100,-128.42857142857142,3816,1846,2023-05-14 14:31:47.861166,14:31
42,-100,-127.53488372093024,3886,2040,2023-05-14 14:31:48.350359,14:31
43,-100,-128.8409090909091,4016,1976,2023-05-14 14:31:49.389997,14:31
44,-100,-127.77777777777777,4146,2170,2023-05-14 14:31:50.268444,14:31
45,-100,-126.8695652173913,4223,2053,2023-05-14 14:31:50.822564,14:31
46,-100,-126.55319148936171,4333,2280,2023-05-14 14:31:51.630714,14:31
47,-100,-126.35416666666667,4389,2109,2023-05-14 14:31:52.054735,14:31
48,-100,-123.89795918367346,4512,2403,2023-05-14 14:31:53.029451,14:31
49,-100,-123.38,4606,2203,2023-05-14 14:31:53.752039,14:31
50,-100,-123.27450980392157,4738,2535,2023-05-14 14:31:54.663878,14:31
51,-100,-122.42307692307692,4801,2266,2023-05-14 14:31:55.094031,14:31
52,-100,-122.47169811320755,4915,2649,2023-05-14 14:31:55.878073,14:31
53,-100,-121.74074074074075,5063,2414,2023-05-14 14:31:57.119668,14:31
54,-100,-121.47272727272727,5193,2779,2023-05-14 14:31:58.033234,14:31
55,-100,-120.96428571428571,5323,2544,2023-05-14 14:31:58.910779,14:31
56,-100,-121.19298245614036,5406,2862,2023-05-14 14:31:59.556916,14:31
57,-100,-119.86206896551724,5560,2698,2023-05-14 14:32:00.797012,14:32
58,-100,-119.59322033898304,5692,2994,2023-05-14 14:32:01.758309,14:32
59,-100,-119.01666666666667,5822,2828,2023-05-14 14:32:02.695326,14:32
60,-100,-117.29508196721312,5897,3069,2023-05-14 14:32:03.220248,14:32
61,-100,-117.2741935483871,5978,2909,2023-05-14 14:32:03.762670,14:32
62,-100,-116.39682539682539,6050,3141,2023-05-14 14:32:04.242722,14:32
63,-100,-115.703125,6155,3014,2023-05-14 14:32:05.017671,14:32
64,-100,-114.9076923076923,6283,3269,2023-05-14 14:32:05.955834,14:32
65,-100,-114.03030303030303,6348,3079,2023-05-14 14:32:06.391726,14:32
66,-100,-114.19402985074628,6421,3342,2023-05-14 14:32:06.884826,14:32
67,-100,-114.23529411764706,6588,3246,2023-05-14 14:32:08.181342,14:32
68,-100,-114.6086956521739,6718,3472,2023-05-14 14:32:09.219521,14:32
69,-100,-113.87142857142857,6801,3329,2023-05-14 14:32:09.804661,14:32
70,-100,-114.5774647887324,6895,3566,2023-05-14 14:32:10.449891,14:32
71,-100,-114.40277777777777,6993,3427,2023-05-14 14:32:11.138291,14:32
72,-100,-113.5068493150685,7076,3649,2023-05-14 14:32:11.759484,14:32
73,-100,-113.05405405405405,7190,3541,2023-05-14 14:32:12.544473,14:32
74,-100,-112.33333333333333,7335,3794,2023-05-14 14:32:13.536109,14:32
75,-100,-112.27631578947368,7438,3644,2023-05-14 14:32:14.339866,14:32
76,-100,-110.49350649350649,7606,3962,2023-05-14 14:32:15.565021,14:32
77,-100,-113.61538461538461,7752,3790,2023-05-14 14:32:16.584827,14:32
78,-100,-113.9367088607595,7860,4070,2023-05-14 14:32:17.316750,14:32
79,-100,-113.2125,7995,3925,2023-05-14 14:32:18.304338,14:32
80,-100,-112.4074074074074,8128,4203,2023-05-14 14:32:19.416578,14:32
81,-100,-113.0609756097561,8246,4043,2023-05-14 14:32:20.237592,14:32
82,-100,-111.66265060240964,8360,4317,2023-05-14 14:32:21.036174,14:32
83,-100,-110.96428571428571,8474,4157,2023-05-14 14:32:21.832632,14:32
84,-100,-110.24705882352941,8568,4411,2023-05-14 14:32:22.486433,14:32
85,-100,-109.69767441860465,8693,4282,2023-05-14 14:32:23.356398,14:32
