episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-47.0,98,98,2023-05-14 15:48:36.620311,15:48
2,-100,-133.0,198,100,2023-05-14 15:48:36.922284,15:48
3,-100,-163.5,281,181,2023-05-14 15:48:37.169477,15:48
4,-100,-159.0,380,199,2023-05-14 15:48:37.475059,15:48
5,-100,-151.16666666666666,457,258,2023-05-14 15:48:37.694592,15:48
6,-100,-161.14285714285714,563,305,2023-05-14 15:48:38.002995,15:48
7,-100,-165.375,701,396,2023-05-14 15:48:38.407950,15:48
8,-100,-188.44444444444446,836,440,2023-05-14 15:48:38.802577,15:48
9,-100,-190.8,909,469,2023-05-14 15:48:39.019254,15:48
10,-100,-181.54545454545453,993,524,2023-05-14 15:48:39.264548,15:48
11,-100,-185.66666666666666,1104,580,2023-05-14 15:48:40.301954,15:48
12,-100,-180.15384615384616,1191,611,2023-05-14 15:48:40.889907,15:48
13,-100,-179.71428571428572,1291,680,2023-05-14 15:48:41.554358,15:48
14,-100,-174.86666666666667,1374,694,2023-05-14 15:48:42.108555,15:48
15,-100,-172.0625,1475,781,2023-05-14 15:48:42.795461,15:48
16,-100,-165.23529411764707,1592,811,2023-05-14 15:48:43.578720,15:48
17,-100,-162.77777777777777,1686,875,2023-05-14 15:48:44.233777,15:48
18,-100,-157.1578947368421,1768,893,2023-05-14 15:48:44.785243,15:48
19,-100,-156.05,1875,982,2023-05-14 15:48:45.517769,15:48
20,-100,-166.04761904761904,1970,988,2023-05-14 15:48:46.161561,15:48
21,-100,-164.9090909090909,2044,1056,2023-05-14 15:48:46.664422,15:48
22,-100,-161.17391304347825,2122,1066,2023-05-14 15:48:47.189103,15:48
23,-100,-154.20833333333334,2226,1160,2023-05-14 15:48:47.908794,15:48
24,-100,-156.16,2359,1199,2023-05-14 15:48:48.814981,15:48
25,-100,-152.76923076923077,2477,1278,2023-05-14 15:48:49.615554,15:48
26,-100,-149.77777777777777,2586,1308,2023-05-14 15:48:50.349355,15:48
27,-100,-147.60714285714286,2698,1390,2023-05-14 15:48:51.126834,15:48
28,-100,-144.6551724137931,2773,1383,2023-05-14 15:48:51.630253,15:48
29,-100,-142.7,2864,1481,2023-05-14 15:48:52.258473,15:48
30,-100,-142.03225806451613,2943,1462,2023-05-14 15:48:52.797249,15:48
31,-100,-138.9375,3018,1556,2023-05-14 15:48:53.311298,15:48
32,-100,-137.15151515151516,3150,1594,2023-05-14 15:48:54.218400,15:48
33,-100,-137.11764705882354,3226,1632,2023-05-14 15:48:54.722739,15:48
34,-100,-137.97142857142856,3306,1674,2023-05-14 15:48:55.263144,15:48
35,-100,-136.5,3395,1721,2023-05-14 15:48:55.871500,15:48
36,-100,-137.0810810810811,3464,1743,2023-05-14 15:48:56.348308,15:48
37,-100,-136.10526315789474,3555,1812,2023-05-14 15:48:56.966704,15:48
38,-100,-135.0,3694,1882,2023-05-14 15:48:57.921847,15:48
39,-100,-138.925,3826,1944,2023-05-14 15:48:58.828877,15:48
40,-100,-135.85365853658536,3925,1981,2023-05-14 15:48:59.498619,15:48
41,-100,-140.04761904761904,4049,2068,2023-05-14 15:49:00.363427,15:49
42,-100,-139.72093023255815,4150,2082,2023-05-14 15:49:01.052947,15:49
43,-100,-138.25,4263,2181,2023-05-14 15:49:01.819204,15:49
44,-100,-137.84444444444443,4376,2195,2023-05-14 15:49:02.591392,15:49
45,-100,-139.43478260869566,4483,2288,2023-05-14 15:49:03.343071,15:49
46,-100,-138.3404255319149,4554,2266,2023-05-14 15:49:03.824112,15:49
47,-100,-137.95833333333334,4651,2385,2023-05-14 15:49:04.493159,15:49
48,-100,-138.48979591836735,4756,2371,2023-05-14 15:49:05.204694,15:49
49,-100,-137.36,4837,2466,2023-05-14 15:49:05.758667,15:49
50,-100,-136.68627450980392,4955,2489,2023-05-14 15:49:06.569757,15:49
51,-100,-134.1153846153846,5073,2584,2023-05-14 15:49:07.387764,15:49
52,-100,-132.8679245283019,5174,2590,2023-05-14 15:49:08.081177,15:49
53,-100,-131.22222222222223,5276,2686,2023-05-14 15:49:08.779320,15:49
54,-100,-130.38181818181818,5397,2711,2023-05-14 15:49:09.606255,15:49
55,-100,-129.82142857142858,5537,2826,2023-05-14 15:49:10.593812,15:49
56,-100,-129.01754385964912,5668,2842,2023-05-14 15:49:11.500023,15:49
57,-100,-128.17241379310346,5793,2951,2023-05-14 15:49:12.360186,15:49
58,-100,-127.38983050847457,5911,2960,2023-05-14 15:49:13.163371,15:49
59,-100,-126.46666666666667,6019,3059,2023-05-14 15:49:13.900814,15:49
60,-100,-126.36065573770492,6114,3055,2023-05-14 15:49:14.549812,15:49
61,-100,-129.56451612903226,6255,3200,2023-05-14 15:49:15.514078,15:49
62,-100,-129.11111111111111,6347,3147,2023-05-14 15:49:16.139730,15:49
63,-100,-127.90625,6448,3301,2023-05-14 15:49:16.836428,15:49
64,-100,-126.8,6571,3270,2023-05-14 15:49:17.698763,15:49
65,-100,-124.86363636363636,6718,3448,2023-05-14 15:49:18.710661,15:49
66,-100,-123.64179104477611,6834,3386,2023-05-14 15:49:19.500066,15:49
67,-100,-123.51470588235294,6939,3553,2023-05-14 15:49:20.222476,15:49
68,-100,-122.21739130434783,7097,3544,2023-05-14 15:49:21.329823,15:49
69,-100,-121.18571428571428,7202,3658,2023-05-14 15:49:22.047216,15:49
70,-100,-120.53521126760563,7311,3653,2023-05-14 15:49:22.812813,15:49
71,-100,-120.27777777777777,7452,3799,2023-05-14 15:49:23.784049,15:49
72,-100,-119.3013698630137,7594,3795,2023-05-14 15:49:24.762424,15:49
73,-100,-118.62162162162163,7695,3900,2023-05-14 15:49:25.437618,15:49
74,-100,-118.54666666666667,7755,3855,2023-05-14 15:49:25.846992,15:49
75,-100,-117.0657894736842,7877,4022,2023-05-14 15:49:26.679416,15:49
76,-100,-115.66233766233766,8006,3984,2023-05-14 15:49:27.578534,15:49
77,-100,-115.14102564102564,8075,4091,2023-05-14 15:49:28.054098,15:49
78,-100,-114.39240506329114,8186,4095,2023-05-14 15:49:28.810153,15:49
79,-100,-113.725,8300,4205,2023-05-14 15:49:29.599757,15:49
80,-100,-113.01234567901234,8444,4239,2023-05-14 15:49:30.582929,15:49
81,-100,-114.20731707317073,8584,4345,2023-05-14 15:49:31.539831,15:49
82,-100,-113.12048192771084,8723,4378,2023-05-14 15:49:32.502100,15:49
83,-100,-112.71428571428571,8797,4419,2023-05-14 15:49:33.024340,15:49
84,-100,-111.68235294117648,8940,4521,2023-05-14 15:49:34.022857,15:49
85,-100,-111.26744186046511,9030,4509,2023-05-14 15:49:34.647508,15:49
86,-100,-110.4367816091954,9159,4650,2023-05-14 15:49:35.562882,15:49
87,-100,-109.7840909090909,9261,4611,2023-05-14 15:49:36.263252,15:49
88,-100,-109.70786516853933,9357,4746,2023-05-14 15:49:36.918301,15:49
89,-100,-108.76666666666667,9443,4697,2023-05-14 15:49:37.523104,15:49
90,-100,-107.91208791208791,9619,4922,2023-05-14 15:49:38.743175,15:49
91,-100,-107.54347826086956,9703,4781,2023-05-14 15:49:39.316446,15:49
92,-100,-106.65591397849462,9865,5084,2023-05-14 15:49:40.451944,15:49
93,-100,-105.59574468085107,9950,4866,2023-05-14 15:49:41.035882,15:49
94,-100,-104.83157894736843,10037,5171,2023-05-14 15:49:41.630958,15:49
95,-100,-103.85416666666667,10162,4991,2023-05-14 15:49:42.501112,15:49
96,-100,-102.80412371134021,10262,5271,2023-05-14 15:49:43.181613,15:49
97,-100,-102.09183673469387,10355,5084,2023-05-14 15:49:43.836338,15:49
98,-100,-101.4949494949495,10447,5363,2023-05-14 15:49:44.491332,15:49
99,-100,-100.71,10532,5169,2023-05-14 15:49:45.076854,15:49
100,-100,-100.51,10625,5456,2023-05-14 15:49:45.718728,15:49
101,-100,-98.09,10764,5308,2023-05-14 15:49:46.687576,15:49
102,-100,-95.72,10963,5655,2023-05-14 15:49:48.097528,15:49
103,-100,-94.95,11061,5406,2023-05-14 15:49:48.774473,15:49
104,-100,-94.25,11176,5770,2023-05-14 15:49:49.560536,15:49
105,-100,-92.51,11266,5496,2023-05-14 15:49:50.185502,15:49
106,-100,-91.04,11393,5897,2023-05-14 15:49:51.058467,15:49
107,-100,-87.79,11514,5617,2023-05-14 15:49:51.902244,15:49
108,-100,-85.69,11617,6000,2023-05-14 15:49:52.608018,15:49
109,-100,-84.51,11770,5770,2023-05-14 15:49:53.665319,15:49
110,-100,-82.53,11867,6097,2023-05-14 15:49:54.338343,15:49
111,-100,-81.2,12068,5971,2023-05-14 15:49:55.796959,15:49
112,-100,-79.94,12175,6204,2023-05-14 15:49:56.541024,15:49
113,-100,-79.28,12286,6082,2023-05-14 15:49:57.313828,15:49
114,-100,-78.0,12444,6362,2023-05-14 15:49:58.426123,15:49
115,-100,-77.73,12519,6157,2023-05-14 15:49:58.959561,15:49
116,-100,-76.82,12633,6476,2023-05-14 15:49:59.743432,15:49
117,-100,-76.42,12737,6261,2023-05-14 15:50:00.486785,15:50
118,-100,-75.88,12889,6628,2023-05-14 15:50:01.550087,15:50
119,-100,-73.54,13182,6554,2023-05-14 15:50:03.679783,15:50
120,-100,-72.84,13259,6705,2023-05-14 15:50:04.221040,15:50
121,-100,-72.34,13339,6634,2023-05-14 15:50:04.781253,15:50
122,-100,-72.47,13458,6824,2023-05-14 15:50:05.608532,15:50
123,-100,-71.78,13988,7164,2023-05-14 15:50:10.102841,15:50
124,-100,-73.32,14125,6961,2023-05-14 15:50:11.075689,15:50
